timestamp,nav_state_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status,latest_arming_reason,latest_disarming_reason
74263347,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
74771405,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
75295349,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
75804414,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
76307336,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
77824488,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
78841163,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
79341295,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
80357708,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
80857874,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
81359355,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
81869300,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
82372432,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
83883559,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
84385058,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
84885351,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
85389340,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
86911318,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
87929793,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
88429911,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
88929934,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
89432305,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
90447555,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
92473799,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
95311292,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
96822460,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
97327482,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
97835332,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
98335358,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
98843315,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
101372122,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
102877348,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
103387575,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104389343,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
106406368,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
107420293,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
107922398,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
108426030,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
108932536,1872107,304480319,304152639,2490399,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
