timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
4433520,-0.0010546427,0.0038966287,-0.0009907802,5008,0,-0.23242551,-0.2132224,-9.73149,5008,0
4438528,-0.0010841648,0.0026426727,-0.0015706854,5008,0,-0.24402358,-0.20502228,-9.740463,5008,0
4443498,-0.0021962726,0.0050775567,-0.0009054148,4970,0,-0.22492586,-0.20142563,-9.756902,4970,0
4448498,-0.0017030503,0.003960433,-0.000666208,5000,0,-0.21592797,-0.19536586,-9.814256,5000,0
4453512,-0.00056066463,0.0044566207,-0.0010971262,5014,0,-0.24649982,-0.17249031,-9.8029785,5014,0
4483505,0.0004158084,0.0047077257,-0.0016494278,4985,0,-0.25814286,-0.20434569,-9.748635,4985,0
4488530,0.0011215451,0.0029632042,-0.0012085827,5025,0,-0.2275997,-0.23334359,-9.729489,5025,0
4493512,7.6711294e-05,0.0045696693,-0.0019349412,4982,0,-0.22920296,-0.22415975,-9.731915,4982,0
4498526,-0.00038973286,0.004782351,0.00034806944,5014,0,-0.21015273,-0.22579215,-9.716488,5014,0
4503516,-0.0007975277,0.0051928964,-0.001959395,4990,0,-0.2324388,-0.22249338,-9.715892,4990,0
4508516,0.001835469,0.003552168,-0.0012287032,5000,0,-0.2492328,-0.22984701,-9.810574,5000,0
4513532,0.0016558032,0.004213966,-0.00078564073,5016,0,-0.23969817,-0.18986586,-9.800268,5016,0
4518520,0.00067756965,0.00460984,-0.0022406254,4988,0,-0.26024732,-0.22134219,-9.731356,4988,0
4523522,-0.00028689974,0.0057606874,-0.0025715907,5002,0,-0.23726024,-0.20324433,-9.751663,5002,0
4528526,-0.0016193418,0.0039815996,-0.0011261685,5004,0,-0.24345985,-0.1964004,-9.759736,5004,0
4533526,-0.0011595773,0.0057563805,-0.0026745945,5000,0,-0.2242357,-0.207897,-9.753,5000,0
4538528,-0.0028286646,0.004301813,-0.00050934084,5002,0,-0.21555583,-0.20928836,-9.723429,5002,0
4543540,-3.7031812e-05,0.004403618,-0.0001305966,5012,0,-0.24850887,-0.23450519,-9.774759,5012,0
4548533,1.5841691e-05,0.0046801902,-0.0018014781,4993,0,-0.28061548,-0.20953444,-9.768422,4993,0
