timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping
103956928,103955874,2162698,2162698,3.9909934e-05,1.1673577e-05,9.810192e-06,-0.000851586,-0.0012648394,-0.04914258,5013,5013,0
105457710,105456660,2162698,2162698,8.80455e-06,1.4273443e-05,3.6160238e-06,-0.0012127482,-0.0009450131,-0.04888803,5015,5015,0
107453904,107452709,2162698,2162698,1.3863866e-05,8.5232605e-06,-3.4177293e-07,-0.0011226881,-0.0012186999,-0.04935693,5012,5012,0
107954129,107952964,2162698,2162698,5.3496065e-06,1.9117917e-05,-2.350903e-06,-0.0012977096,-0.0011357968,-0.048995163,5002,5002,0
108454452,108453235,2162698,2162698,-3.1175943e-05,7.822712e-06,3.557352e-06,-0.0011097374,-0.0012994523,-0.048959624,4996,4996,0
108954569,108953506,2162698,2162698,2.635888e-05,1.8462915e-05,-4.548746e-06,-0.0010057252,-0.0010866964,-0.048713904,5015,5015,0
109955218,109954026,2162698,2162698,-2.5116202e-05,1.5283405e-05,6.3640614e-06,-0.0010189685,-0.0010212414,-0.048848677,5003,5003,0
113456970,113455909,2162698,2162698,1.6902137e-05,6.517104e-06,1.3923121e-05,-0.001213524,-0.0013983954,-0.04892238,5013,5013,0
115953438,115952253,2162698,2162698,2.0357422e-05,2.3758812e-05,8.33592e-06,-0.0013033205,-0.00090154615,-0.04896536,5002,5002,0
116453638,116452514,2162698,2162698,-9.368253e-07,1.30078315e-05,9.705293e-06,-0.0011778304,-0.0010015159,-0.048722148,4984,4984,0
117954439,117953337,2162698,2162698,-1.1080383e-06,1.5679554e-05,5.6700674e-06,-0.0013564862,-0.00088292366,-0.049060035,5000,5000,0
119455237,119454152,2162698,2162698,5.3314114e-05,1.7476626e-05,5.8641494e-06,-0.0011282632,-0.00117184,-0.0487829,5003,5003,0
120455821,120454707,2162698,2162698,7.485803e-06,2.1066762e-07,-3.1796505e-06,-0.0012478445,-0.00080019614,-0.048631914,5016,5016,0
121456338,121455266,2162698,2162698,-1.6974021e-05,-1.7441781e-06,9.887973e-06,-0.0011489589,-0.00093972427,-0.04888416,5021,5021,0
121956614,121955534,2162698,2162698,-5.4385055e-06,7.3745464e-06,6.294948e-06,-0.0010367765,-0.0011725205,-0.048948754,5021,5021,0
