timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
201816462,0.9979152,0.010839801,-0.012772923,-0.062327366,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201821468,0.99791527,0.010840049,-0.012770625,-0.062325962,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201826467,0.9979153,0.010841786,-0.01276935,-0.062324755,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201831482,0.99791545,0.010840789,-0.012769189,-0.062324356,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201846486,0.99791545,0.010834996,-0.012766539,-0.062326074,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201851481,0.99791527,0.0108309975,-0.012765895,-0.06232961,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201856487,0.9979152,0.010829008,-0.012765669,-0.06233029,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201861495,0.99791515,0.010824146,-0.012764499,-0.06233244,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201866508,0.9979151,0.010827647,-0.012765251,-0.06233277,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201896513,0.99791485,0.010830585,-0.012761388,-0.062335916,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201901512,0.9979147,0.010833164,-0.012761834,-0.06233909,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201906514,0.9979147,0.010834014,-0.01276239,-0.062339026,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201911512,0.9979148,0.010828658,-0.012761268,-0.06233857,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201916528,0.99791485,0.010827742,-0.012757794,-0.062338464,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201921532,0.99791497,0.010822724,-0.0127569735,-0.062337734,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201926604,0.9979149,0.01081974,-0.012756202,-0.062337972,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201966573,0.9979141,0.010826073,-0.012750686,-0.062351886,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201971572,0.99791414,0.010821331,-0.012749984,-0.062351484,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201976583,0.997914,0.010817812,-0.012751221,-0.06235414,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201981582,0.997914,0.010819991,-0.012750462,-0.062353708,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
201986591,0.99791425,0.010815699,-0.012748769,-0.06235099,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202026604,0.99791425,0.010812908,-0.01274104,-0.06235304,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202031595,0.99791414,0.0108128125,-0.012743373,-0.06235548,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202036611,0.99791396,0.0108089065,-0.012743338,-0.062359557,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202041599,0.99791396,0.01080972,-0.012741749,-0.062359318,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202046615,0.9979141,0.010809443,-0.012743777,-0.062357143,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202051613,0.997914,0.0108089885,-0.012743465,-0.062356498,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202056605,0.9979139,0.010806084,-0.012739866,-0.062360507,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202071610,0.99791354,0.01080733,-0.012742138,-0.06236583,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202076617,0.9979136,0.010810655,-0.012744107,-0.062363867,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202081616,0.997914,0.010807591,-0.012744378,-0.062358152,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202086624,0.997914,0.010807377,-0.012745406,-0.062357966,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202166666,0.99791324,0.010811148,-0.012731552,-0.062372904,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202171669,0.9979131,0.010812388,-0.012730666,-0.062374596,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202176676,0.9979129,0.010807304,-0.012732346,-0.06237716,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202181675,0.9979129,0.0108072525,-0.012732841,-0.062377416,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202186685,0.99791306,0.010805578,-0.0127311945,-0.06237608,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202191681,0.9979131,0.010805887,-0.012727973,-0.062376264,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202196694,0.997913,0.010802093,-0.012728866,-0.06237746,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202206691,0.99791306,0.010808146,-0.012724975,-0.062376942,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
