timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
434587427,1,1,0,1,0,0,0,0,0,0,0,0,0,0
435098233,1,1,0,1,0,0,0,0,0,0,0,0,0,0
435608157,1,1,0,1,0,0,0,0,0,0,0,0,0,0
436110788,1,1,0,1,0,0,0,0,0,0,0,0,0,0
436619418,1,1,0,1,0,0,0,0,0,0,0,0,0,0
437130008,1,1,0,1,0,0,0,0,0,0,0,0,0,0
437631807,1,1,0,1,0,0,0,0,0,0,0,0,0,0
438140801,1,1,0,1,0,0,0,0,0,0,0,0,0,0
438641507,1,1,0,1,0,0,0,0,0,0,0,0,0,0
439145268,1,1,0,1,0,0,0,0,0,0,0,0,0,0
439652584,1,1,0,1,0,0,0,0,0,0,0,0,0,0
440159760,1,1,0,1,0,0,0,0,0,0,0,0,0,0
440662526,1,1,0,1,0,0,0,0,0,0,0,0,0,0
441172735,1,1,0,1,0,0,0,0,0,0,0,0,0,0
441676764,1,1,0,1,0,0,0,0,0,0,0,0,0,0
442184576,1,1,0,1,0,0,0,0,0,0,0,0,0,0
442693972,1,1,0,1,0,0,0,0,0,0,0,0,0,0
443204432,1,1,0,1,0,0,0,0,0,0,0,0,0,0
443705570,1,1,0,1,0,0,0,0,0,0,0,0,0,0
444214549,1,1,0,1,0,0,0,0,0,0,0,0,0,0
444719206,1,1,0,1,0,0,0,0,0,0,0,0,0,0
445226727,1,1,0,1,0,0,0,0,0,0,0,0,0,0
445735957,1,1,0,1,0,0,0,0,0,0,0,0,0,0
446245701,1,1,0,1,0,0,0,0,0,0,0,0,0,0
446747631,1,1,0,1,0,0,0,0,0,0,0,0,0,0
447256551,1,1,0,1,0,0,0,0,0,0,0,0,0,0
447766906,1,1,0,1,0,0,0,0,0,0,0,0,0,0
448267709,1,1,0,1,0,0,0,0,0,0,0,0,0,0
448768755,1,1,0,1,0,0,0,0,0,0,0,0,0,0
449278187,1,1,0,1,0,0,0,0,0,0,0,0,0,0
449782147,1,1,0,1,0,0,0,0,0,0,0,0,0,0
450292346,1,1,0,1,0,0,0,0,0,0,0,0,0,0
450799887,1,1,0,1,0,0,0,0,0,0,0,0,0,0
451302879,1,1,0,1,0,0,0,0,0,0,0,0,0,0
451810498,1,1,0,1,0,0,0,0,0,0,0,0,0,0
452319720,1,1,0,1,0,0,0,0,0,0,0,0,0,0
452825147,1,1,0,1,0,0,0,0,0,0,0,0,0,0
453334221,1,1,0,1,0,0,0,0,0,0,0,0,0,0
454359929,1,1,0,1,0,0,0,0,0,0,0,0,0,0
454861471,1,1,0,1,0,0,0,0,0,0,0,0,0,0
455362978,1,1,0,1,0,0,0,0,0,0,0,0,0,0
455880547,1,1,0,1,0,0,0,0,0,0,0,0,0,0
456383739,1,1,0,1,0,0,0,0,0,0,0,0,0,0
456896040,1,1,0,1,0,0,0,0,0,0,0,0,0,0
457403865,1,1,0,1,0,0,0,0,0,0,0,0,0,0
457912893,1,1,0,1,0,0,0,0,0,0,0,0,0,0
458418004,1,1,0,1,0,0,0,0,0,0,0,0,0,0
458924544,1,1,0,1,0,0,0,0,0,0,0,0,0,0
459427289,1,1,0,1,0,0,0,0,0,0,0,0,0,0
459937730,1,1,0,1,0,0,0,0,0,0,0,0,0,0
460444521,1,1,0,1,0,0,0,0,0,0,0,0,0,0
460945634,1,1,0,1,0,0,0,0,0,0,0,0,0,0
461454490,1,1,0,1,0,0,0,0,0,0,0,0,0,0
461964876,1,1,0,1,0,0,0,0,0,0,0,0,0,0
462475842,1,1,0,1,0,0,0,0,0,0,0,0,0,0
462975957,1,1,0,1,0,0,0,0,0,0,0,0,0,0
463485778,1,1,0,1,0,0,0,0,0,0,0,0,0,0
463986244,1,1,0,1,0,0,0,0,0,0,0,0,0,0
464486791,1,1,0,1,0,0,0,0,0,0,0,0,0,0
464987032,1,1,0,1,0,0,0,0,0,0,0,0,0,0
465487270,1,1,0,1,0,0,0,0,0,0,0,0,0,0
465996873,1,1,0,1,0,0,0,0,0,0,0,0,0,0
467016934,1,1,0,1,0,0,0,0,0,0,0,0,0,0
467518107,1,1,0,1,0,0,0,0,0,0,0,0,0,0
468018850,1,1,0,1,0,0,0,0,0,0,0,0,0,0
468522501,1,1,0,1,0,0,0,0,0,0,0,0,0,0
469028979,1,1,0,1,0,0,0,0,0,0,0,0,0,0
469538301,1,1,0,1,0,0,0,0,0,0,0,0,0,0
470040597,1,1,0,1,0,0,0,0,0,0,0,0,0,0
470558912,1,1,0,1,0,0,0,0,0,0,0,0,0,0
471060180,1,1,0,1,0,0,0,0,0,0,0,0,0,0
471570480,1,1,0,1,0,0,0,0,0,0,0,0,0,0
472080568,1,1,0,1,0,0,0,0,0,0,0,0,0,0
472581709,1,1,0,1,0,0,0,0,0,0,0,0,0,0
473091771,1,1,0,1,0,0,0,0,0,0,0,0,0,0
473601571,1,1,0,1,0,0,0,0,0,0,0,0,0,0
474101979,1,1,0,1,0,0,0,0,0,0,0,0,0,0
474611886,1,1,0,1,0,0,0,0,0,0,0,0,0,0
475116898,1,1,0,1,0,0,0,0,0,0,0,0,0,0
475623682,1,1,0,1,0,0,0,0,0,0,0,0,0,0
476132731,1,1,0,1,0,0,0,0,0,0,0,0,0,0
476636879,1,1,0,1,0,0,0,0,0,0,0,0,0,0
477142357,1,1,0,1,0,0,0,0,0,0,0,0,0,0
477643606,1,1,0,1,0,0,0,0,0,0,0,0,0,0
478154475,1,1,0,1,0,0,0,0,0,0,0,0,0,0
478655640,1,1,0,1,0,0,0,0,0,0,0,0,0,0
479155726,1,1,0,1,0,0,0,0,0,0,0,0,0,0
479664084,1,1,0,1,0,0,0,0,0,0,0,0,0,0
480173783,1,1,0,1,0,0,0,0,0,0,0,0,0,0
480683964,1,1,0,1,0,0,0,0,0,0,0,0,0,0
481186459,1,1,0,1,0,0,0,0,0,0,0,0,0,0
481696771,1,1,0,1,0,0,0,0,0,0,0,0,0,0
482209979,1,1,0,1,0,0,0,0,0,0,0,0,0,0
482720012,1,1,0,1,0,0,0,0,0,0,0,0,0,0
483225360,1,1,0,1,0,0,0,0,0,0,0,0,0,0
483725709,1,1,0,1,0,0,0,0,0,0,0,0,0,0
484226822,1,1,0,1,0,0,0,0,0,0,0,0,0,0
484727065,1,1,0,1,0,0,0,0,0,0,0,0,0,0
485227858,1,1,0,1,0,0,0,0,0,0,0,0,0,0
485738899,1,1,0,1,0,0,0,0,0,0,0,0,0,0
486248604,1,1,0,1,0,0,0,0,0,0,0,0,0,0
486748694,1,1,0,1,0,0,0,0,0,0,0,0,0,0
487258213,1,1,0,1,0,0,0,0,0,0,0,0,0,0
488279324,1,1,0,1,0,0,0,0,0,0,0,0,0,0
488789138,1,1,0,1,0,0,0,0,0,0,0,0,0,0
489299902,1,1,0,1,0,0,0,0,0,0,0,0,0,0
489800476,1,1,0,1,0,0,0,0,0,0,0,0,0,0
490301464,1,1,0,1,0,0,0,0,0,0,0,0,0,0
490810022,1,1,0,1,0,0,0,0,0,0,0,0,0,0
491310066,1,1,0,1,0,0,0,0,0,0,0,0,0,0
492322509,1,1,0,1,0,0,0,0,0,0,0,0,0,0
493340802,1,1,0,1,0,0,0,0,0,0,0,0,0,0
494352512,1,1,0,1,0,0,0,0,0,0,0,0,0,0
494856048,1,1,0,1,0,0,0,0,0,0,0,0,0,0
495362238,1,1,0,1,0,0,0,0,0,0,0,0,0,0
495862927,1,1,0,1,0,0,0,0,0,0,0,0,0,0
496373468,1,1,0,1,0,0,0,0,0,0,0,0,0,0
496883218,1,1,0,1,0,0,0,0,0,0,0,0,0,0
497383232,1,1,0,1,0,0,0,0,0,0,0,0,0,0
497893476,1,1,0,1,0,0,0,0,0,0,0,0,0,0
498403724,1,1,0,1,0,0,0,0,0,0,0,0,0,0
498913770,1,1,0,1,0,0,0,0,0,0,0,0,0,0
499424033,1,1,0,1,0,0,0,0,0,0,0,0,0,0
499933512,1,1,0,1,0,0,0,0,0,0,0,0,0,0
500444653,1,1,0,1,0,0,0,0,0,0,0,0,0,0
500945463,1,1,0,1,0,0,0,0,0,0,0,0,0,0
501455714,1,1,0,1,0,0,0,0,0,0,0,0,0,0
501965501,1,1,0,1,0,0,0,0,0,0,0,0,0,0
502475949,1,1,0,1,0,0,0,0,0,0,0,0,0,0
502985638,1,1,0,1,0,0,0,0,0,0,0,0,0,0
503496504,1,1,0,1,0,0,0,0,0,0,0,0,0,0
504007600,1,1,0,1,0,0,0,0,0,0,0,0,0,0
504510433,1,1,0,1,0,0,0,0,0,0,0,0,0,0
505017462,1,1,0,1,0,0,0,0,0,0,0,0,0,0
505527993,1,1,0,1,0,0,0,0,0,0,0,0,0,0
506032488,1,1,0,1,0,0,0,0,0,0,0,0,0,0
506536475,1,1,0,1,0,0,0,0,0,0,0,0,0,0
507038906,1,1,0,1,0,0,0,0,0,0,0,0,0,0
507541362,1,1,0,1,0,0,0,0,0,0,0,0,0,0
508042155,1,1,0,1,0,0,0,0,0,0,0,0,0,0
508548036,1,1,0,1,0,0,0,0,0,0,0,0,0,0
509058875,1,1,0,1,0,0,0,0,0,0,0,0,0,0
509559965,1,1,0,1,0,0,0,0,0,0,0,0,0,0
510069198,1,1,0,1,0,0,0,0,0,0,0,0,0,0
510569211,1,1,0,1,0,0,0,0,0,0,0,0,0,0
511070518,1,1,0,1,0,0,0,0,0,0,0,0,0,0
511579771,1,1,0,1,0,0,0,0,0,0,0,0,0,0
512089517,1,1,0,1,0,0,0,0,0,0,0,0,0,0
512589772,1,1,0,1,0,0,0,0,0,0,0,0,0,0
513100703,1,1,0,1,0,0,0,0,0,0,0,0,0,0
513610814,1,1,0,1,0,0,0,0,0,0,0,0,0,0
514120875,1,1,0,1,0,0,0,0,0,0,0,0,0,0
515122518,1,1,0,1,0,0,0,0,0,0,0,0,0,0
515632563,1,1,0,1,0,0,0,0,0,0,0,0,0,0
516142570,1,1,0,1,0,0,0,0,0,0,0,0,0,0
516652849,1,1,0,1,0,0,0,0,0,0,0,0,0,0
517156055,1,1,0,1,0,0,0,0,0,0,0,0,0,0
517663634,1,1,0,1,0,0,0,0,0,0,0,0,0,0
518171717,1,1,0,1,0,0,0,0,0,0,0,0,0,0
518671962,1,1,0,1,0,0,0,0,0,0,0,0,0,0
519674771,1,1,0,1,0,0,0,0,0,0,0,0,0,0
520188640,1,1,0,1,0,0,0,0,0,0,0,0,0,0
520703756,1,1,0,1,0,0,0,0,0,0,0,0,0,0
521207346,1,1,0,1,0,0,0,0,0,0,0,0,0,0
521714767,1,1,0,1,0,0,0,0,0,0,0,0,0,0
522219190,1,1,0,1,0,0,0,0,0,0,0,0,0,0
522725458,1,1,0,1,0,0,0,0,0,0,0,0,0,0
523225641,1,1,0,1,0,0,0,0,0,0,0,0,0,0
523729763,1,1,0,1,0,0,0,0,0,0,0,0,0,0
524235586,1,1,0,1,0,0,0,0,0,0,0,0,0,0
524736812,1,1,0,1,0,0,0,0,0,0,0,0,0,0
525246766,1,1,0,1,0,0,0,0,0,0,0,0,0,0
525747685,1,1,0,1,0,0,0,0,0,0,0,0,0,0
526256576,1,1,0,1,0,0,0,0,0,0,0,0,0,0
526761396,1,1,0,1,0,0,0,0,0,0,0,0,0,0
527275889,1,1,0,1,0,0,0,0,0,0,0,0,0,0
527777573,1,1,0,1,0,0,0,0,0,0,0,0,0,0
528287766,1,1,0,1,0,0,0,0,0,0,0,0,0,0
528796437,1,1,0,1,0,0,0,0,0,0,0,0,0,0
529297314,1,1,0,1,0,0,0,0,0,0,0,0,0,0
529799011,1,1,0,1,0,0,0,0,0,0,0,0,0,0
530307183,1,1,0,1,0,0,0,0,0,0,0,0,0,0
530809583,1,1,0,1,0,0,0,0,0,0,0,0,0,0
531309679,1,1,0,1,0,0,0,0,0,0,0,0,0,0
531817783,1,1,0,1,0,0,0,0,0,0,0,0,0,0
532319201,1,1,0,1,0,0,0,0,0,0,0,0,0,0
532829466,1,1,0,1,0,0,0,0,0,0,0,0,0,0
533329521,1,1,0,1,0,0,0,0,0,0,0,0,0,0
533839763,1,1,0,1,0,0,0,0,0,0,0,0,0,0
534851738,1,1,0,1,0,0,0,0,0,0,0,0,0,0
535351746,1,1,0,1,0,0,0,0,0,0,0,0,0,0
535860662,1,1,0,1,0,0,0,0,0,0,0,0,0,0
536360697,1,1,0,1,0,0,0,0,0,0,0,0,0,0
536865159,1,1,0,1,0,0,0,0,0,0,0,0,0,0
537365194,1,1,0,1,0,0,0,0,0,0,0,0,0,0
537880568,1,1,0,1,0,0,0,0,0,0,0,0,0,0
538391355,1,1,0,1,0,0,0,0,0,0,0,0,0,0
539402782,1,1,0,1,0,0,0,0,0,0,0,0,0,0
539903648,1,1,0,1,0,0,0,0,0,0,0,0,0,0
540412687,1,1,0,1,0,0,0,0,0,0,0,0,0,0
540913523,1,1,0,1,0,0,0,0,0,0,0,0,0,0
541413566,1,1,0,1,0,0,0,0,0,0,0,0,0,0
541917325,1,1,0,1,0,0,0,0,0,0,0,0,0,0
542432494,1,1,0,1,0,0,0,0,0,0,0,0,0,0
542934544,1,1,0,1,0,0,0,0,0,0,0,0,0,0
543443853,1,1,0,1,0,0,0,0,0,0,0,0,0,0
543944528,1,1,0,1,0,0,0,0,0,0,0,0,0,0
544454061,1,1,0,1,0,0,0,0,0,0,0,0,0,0
544959880,1,1,0,1,0,0,0,0,0,0,0,0,0,0
545465502,1,1,0,1,0,0,0,0,0,0,0,0,0,0
545968949,1,1,0,1,0,0,0,0,0,0,0,0,0,0
546473487,1,1,0,1,0,0,0,0,0,0,0,0,0,0
546980169,1,1,0,1,0,0,0,0,0,0,0,0,0,0
547483850,1,1,0,1,0,0,0,0,0,0,0,0,0,0
547993786,1,1,0,1,0,0,0,0,0,0,0,0,0,0
548494588,1,1,0,1,0,0,0,0,0,0,0,0,0,0
548996078,1,1,0,1,0,0,0,0,0,0,0,0,0,0
549496120,1,1,0,1,0,0,0,0,0,0,0,0,0,0
549997300,1,1,0,1,0,0,0,0,0,0,0,0,0,0
550500806,1,1,0,1,0,0,0,0,0,0,0,0,0,0
551007707,1,1,0,1,0,0,0,0,0,0,0,0,0,0
551507736,1,1,0,1,0,0,0,0,0,0,0,0,0,0
552011281,1,1,0,1,0,0,0,0,0,0,0,0,0,0
552519021,1,1,0,1,0,0,0,0,0,0,0,0,0,0
553029464,1,1,0,1,0,0,0,0,0,0,0,0,0,0
553529503,1,1,0,1,0,0,0,0,0,0,0,0,0,0
554552594,1,1,0,1,0,0,0,0,0,0,0,0,0,0
555059762,1,1,0,1,0,0,0,0,0,0,0,0,0,0
555559769,1,1,0,1,0,0,0,0,0,0,0,0,0,0
556070491,1,1,0,1,0,0,0,0,0,0,0,0,0,0
556573296,1,1,0,1,0,0,0,0,0,0,0,0,0,0
557081467,1,1,0,1,0,0,0,0,0,0,0,0,0,0
557591599,1,1,0,1,0,0,0,0,0,0,0,0,0,0
558110232,1,1,0,1,0,0,0,0,0,0,0,0,0,0
558620502,1,1,0,1,0,0,0,0,0,0,0,0,0,0
559121502,1,1,0,1,0,0,0,0,0,0,0,0,0,0
559630810,1,1,0,1,0,0,0,0,0,0,0,0,0,0
560134949,1,1,0,1,0,0,0,0,0,0,0,0,0,0
560640166,1,1,0,1,0,0,0,0,0,0,0,0,0,0
561141639,1,1,0,1,0,0,0,0,0,0,0,0,0,0
561641713,1,1,0,1,0,0,0,0,0,0,0,0,0,0
562152530,1,1,0,1,0,0,0,0,0,0,0,0,0,0
562661775,1,1,0,1,0,0,0,0,0,0,0,0,0,0
563162551,1,1,0,1,0,0,0,0,0,0,0,0,0,0
