timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
505697201,1627401714200107,11010077,386210655,-91508352,163393,211618,1.8650001,0.061933182,6.775,15.537001,1.17,2.4199998,84,14,24.694,-24.453001,-3.4370003,8.120001,3.2812462,0,nan,0.0,2496,3,0,1,8
506697350,1627401715200108,11010077,386208547,-91509048,158074,206299,2.009,0.060318578,6.6590004,15.306001,1.17,2.4199998,84,26,27.043001,-25.11,-10.040001,10.335,3.5219746,0,nan,0.0,2496,3,0,1,8
507696802,1627401716200108,11010077,386206531,-91510399,158084,206309,1.659,0.06732834,6.5480003,14.939001,1.17,2.4199998,84,6,27.032001,-23.485,-13.385,3.0070002,3.6596014,0,nan,0.0,2496,3,0,1,8
508707343,1627401717200108,11010077,386204866,-91512366,160142,208367,1.217,0.065546885,6.4090004,14.588,1.17,2.4199998,84,9,24.224,-15.528001,-18.593,0.16800001,4.0165715,0,nan,0.0,2496,3,0,1,8
509697492,1627401718200108,11010077,386203793,-91514496,164932,213157,1.5630001,0.091119625,6.3690004,14.477,1.17,2.4199998,84,28,21.689001,-9.109,-19.683,-3.8590002,4.278939,0,nan,0.0,2496,3,0,1,8
510692777,1627401719200108,11010077,386203442,-91516391,165616,213840,1.4970001,0.1051402,6.3180003,14.262001,1.17,2.4199998,84,7,15.436001,-1.3570001,-15.376,0.381,4.624351,0,nan,0.0,2496,3,0,1,8
511698862,1627401720200108,11010077,386203483,-91517936,162092,210317,1.6430001,0.11243428,6.1850004,13.863001,1.17,2.4199998,84,5,12.076,2.637,-11.784,4.1060004,4.932544,0,nan,0.0,2496,3,0,1,8
512699953,1627401721200108,11010077,386203682,-91519137,157587,205812,1.6610001,0.15376751,6.064,13.6050005,1.17,2.4199998,84,30,10.275001,4.3360004,-9.316,6.688,5.147974,0,nan,0.0,2496,3,0,1,8
513698809,1627401722200108,11010077,386204064,-91520144,152590,200815,2.483,0.24227822,6.1120005,13.601001,1.17,2.4199998,84,19,10.139001,5.7580004,-8.345,3.1820002,5.3163204,0,nan,0.0,2496,3,0,1,8
514700939,1627401723200109,11010077,386204493,-91521211,152244,200469,1.8440001,0.17750993,6.2320004,13.703001,1.17,2.4199998,84,12,10.048,5.4760003,-8.425,-0.58400005,5.2887793,0,nan,0.0,2496,3,0,1,8
515700433,1627401724200109,11010077,386204936,-91522135,151704,199929,1.8900001,0.17080735,6.352,13.934001,1.17,2.4199998,84,28,11.005,7.405,-8.141001,1.32,5.450482,0,nan,0.0,2496,3,0,1,8
516711054,1627401725200109,11010077,386205636,-91523072,151567,199792,1.8670001,0.16179027,6.4600005,14.052001,1.17,2.4199998,84,27,13.132001,9.609,-8.951,3.627,5.533217,0,nan,0.0,2496,3,0,1,8
517706227,1627401726200109,11010077,386206486,-91524187,140664,188889,1.764,0.12916152,6.5140004,14.198001,1.17,2.4199998,84,4,15.235001,10.887,-10.658001,7.5020003,5.5084157,0,nan,0.0,2496,3,0,1,8
518702939,1627401727200109,11010077,386207437,-91525531,133372,181597,2.105,0.10263565,6.577,14.379001,1.17,2.4199998,85,14,18.147001,12.102,-13.522,4.276,5.4424453,0,nan,0.0,2496,3,0,1,8
519697127,1627401728200109,11010077,386208501,-91526827,128836,177061,1.9060001,0.12684476,6.6380005,14.542001,1.17,2.4199998,85,24,16.072,12.854001,-9.647,2.3530002,5.63936,0,nan,0.0,2496,3,0,1,8
520702835,1627401729200109,11010077,386209604,-91527595,129510,177735,1.6450001,0.13546564,6.6580005,14.592001,1.17,2.4199998,85,20,13.977,13.067,-4.9610004,0.957,5.920358,0,nan,0.0,2496,3,0,1,8
