timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy
473672672,921600.0,1.0,11896.675,0.0,128243,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474433254,921600.0,1.0,12056.9,0.0,128462,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475177666,921600.0,1.0,12191.242,0.0,128677,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476693671,921600.0,1.0,12213.412,0.0,129099,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477448046,921600.0,1.0,12126.509,0.0,129314,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478204902,921600.0,1.0,11930.487,0.0,129532,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478954987,921600.0,1.0,11930.487,0.0,129734,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480476119,921600.0,1.0,12101.485,0.0,130170,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481235783,921600.0,1.0,12338.483,0.0,130391,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481994801,921600.0,1.0,12338.483,0.0,130604,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483497702,921600.0,1.0,11749.098,0.0,131025,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484257337,921600.0,1.0,12070.882,0.0,131237,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486529320,921600.0,1.0,11887.451,0.0,131877,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487282471,921600.0,1.0,12068.427,0.0,132089,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488039993,921600.0,1.0,12068.427,0.0,132301,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489540643,921600.0,1.0,12426.012,0.0,132736,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490310480,921600.0,1.0,12169.401,0.0,132954,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491056556,921600.0,1.0,12169.401,0.0,133160,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492576369,921600.0,1.0,12230.43,0.0,133592,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
493327163,921600.0,1.0,11947.947,0.0,133809,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494083151,921600.0,1.0,11947.947,0.0,134022,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495587658,921600.0,1.0,12050.976,0.0,134453,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496347891,921600.0,1.0,12140.856,0.0,134664,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
497104552,921600.0,1.0,12140.856,0.0,134882,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498607652,921600.0,1.0,12242.305,0.0,135310,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499365286,921600.0,1.0,12333.809,0.0,135526,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500125210,921600.0,1.0,12333.809,0.0,135744,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501626553,921600.0,1.0,12255.47,0.0,136171,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502386797,921600.0,1.0,12162.549,0.0,136388,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503146826,921600.0,1.0,12162.549,0.0,136597,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504647906,921600.0,1.0,12065.057,0.0,137017,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505411960,921600.0,1.0,11932.647,0.0,137233,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506171209,921600.0,1.0,11932.647,0.0,137439,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507698315,921600.0,1.0,11978.258,0.0,137866,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508457743,921600.0,1.0,12188.3955,0.0,138078,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509208852,921600.0,1.0,12188.3955,0.0,138299,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509972838,921600.0,1.0,12149.545,0.0,138504,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511483829,921600.0,1.0,12383.786,0.0,138943,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512241291,921600.0,1.0,12383.786,0.0,139154,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512991786,921600.0,1.0,11878.516,0.0,139367,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514494989,921600.0,1.0,12246.652,0.0,139800,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515251317,921600.0,1.0,12246.652,0.0,140017,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
