timestamp,indicated_airspeed_m_s,calibrated_airspeed_m_s,true_airspeed_m_s,calibrated_ground_minus_wind_m_s,true_ground_minus_wind_m_s,airspeed_sensor_measurement_valid,selected_airspeed_index
447627499,18.332964,18.332964,19.125864,23.933947,25.53382,1,1
447827510,18.617033,18.617033,19.422855,23.736843,25.322393,1,1
448027517,18.723524,18.723524,19.530052,23.508114,25.075417,1,1
448227510,18.660463,18.660463,19.464226,23.262968,24.812315,1,1
448427518,18.97229,18.97229,19.792416,22.998354,24.528265,1,1
448627509,19.049341,19.049341,19.869755,22.729315,24.239967,1,1
448827510,18.934273,18.934273,19.749557,22.487555,23.980057,1,1
449027502,19.47083,19.47083,20.312302,22.165407,23.634872,1,1
449227499,19.358015,19.358015,20.191315,21.741323,23.180775,1,1
449427534,19.416262,19.416262,20.251966,21.209883,22.612623,1,1
449627602,19.420347,19.420347,20.256252,20.615002,21.977394,1,1
449827705,19.340864,19.340864,20.176159,19.932945,21.248175,1,1
450027509,19.877619,19.877619,20.735832,19.137758,20.398666,1,1
450227516,19.554264,19.554264,20.394672,18.544504,19.764515,1,1
450427510,19.900639,19.900639,20.760187,17.927383,19.106768,1,1
450627510,20.04253,20.04253,20.907549,17.272736,18.406744,1,1
450827510,20.258255,20.258255,21.129345,16.527277,17.611355,1,1
451027507,20.524158,20.524158,21.406305,15.812882,16.848747,1,1
451227499,20.03582,20.03582,20.901287,15.145785,16.137695,1,1
451427507,20.079401,20.079401,20.941956,14.425664,15.368143,1,1
451627518,20.303476,20.303476,21.17946,13.738303,14.635253,1,1
451827511,20.219759,20.219759,21.092106,13.039353,13.889784,1,1
452027561,20.6586,20.6586,21.54647,12.250329,13.048703,1,1
452227503,20.470955,20.470955,21.349897,11.46158,12.20691,1,1
452427503,20.436293,20.436293,21.314445,10.773572,11.473821,1,1
452627510,20.488989,20.488989,21.369139,9.890049,10.532079,1,1
452827507,20.225332,20.225332,21.094076,9.136176,9.728468,1,1
453027503,20.334772,20.334772,21.207842,8.545479,9.098745,1,1
453227494,20.388561,20.388561,21.263939,7.971749,8.487472,1,1
453427513,20.280085,20.280085,21.146978,7.4070945,7.8855004,1,1
453627499,20.182508,20.182508,21.049839,6.804899,7.2443867,1,1
453827579,20.108702,20.108702,20.96851,6.4630265,6.8795652,1,1
454027698,20.207668,20.207668,21.075335,6.1900606,6.5887804,1,1
454227510,20.438688,20.438688,21.315302,6.058322,6.4478583,1,1
454427504,20.203918,20.203918,21.070625,6.156969,6.552385,1,1
454627513,20.124166,20.124166,20.983496,6.421697,6.8337016,1,1
454827510,20.057926,20.057926,20.917578,6.7423577,7.1743097,1,1
455027509,19.89465,19.89465,20.74384,7.170698,7.629555,1,1
455227499,19.77734,19.77734,20.624445,7.6175427,8.104216,1,1
455427522,19.821238,19.821238,20.665964,8.250712,8.777014,1,1
455627552,19.369595,19.369595,20.194588,9.000796,9.573964,1,1
455827509,19.526058,19.526058,20.358204,9.704159,10.321715,1,1
456027502,19.727262,19.727262,20.56736,10.466366,11.131393,1,1
456227507,19.762001,19.762001,20.602459,11.383915,12.106016,1,1
456427503,20.135214,20.135214,20.990406,12.134973,12.903205,1,1
456627509,20.126627,20.126627,20.98103,12.88018,13.694453,1,1
456827508,20.341288,20.341288,21.203896,13.593501,14.451343,1,1
457027554,20.510067,20.510067,21.378323,14.3195715,15.221201,1,1
457227502,20.589634,20.589634,21.459633,14.839737,15.7719345,1,1
457427513,20.755297,20.755297,21.631832,15.494812,16.467031,1,1
457627499,20.831446,20.831446,21.710814,16.50892,17.543358,1,1
457827494,21.027739,21.027739,21.914013,17.97531,19.099525,1,1
458027561,20.4681,20.4681,21.33127,19.402355,20.614672,1,1
458227762,19.646957,19.646957,20.47648,21.781263,23.142601,1,1
458427708,19.419405,19.419405,20.239574,24.082151,25.586012,1,1
458627515,18.902864,18.902864,19.699068,26.02252,27.647642,1,1
458827507,18.902733,18.902733,19.700247,27.060448,28.750954,1,1
459027512,19.007563,19.007563,19.813461,28.67765,30.468498,1,1
459227517,19.358437,19.358437,20.179798,30.296408,32.18776,1,1
459427510,19.02161,19.02161,19.82963,31.126177,33.069355,1,1
459627504,18.48336,18.48336,19.269342,31.31507,33.269897,1,1
459827509,18.671854,18.671854,19.462893,31.336863,33.29121,1,1
460027504,18.671906,18.671906,19.462896,31.370571,33.325363,1,1
460227504,18.782194,18.782194,19.58044,31.317537,33.26601,1,1
460427499,18.255638,18.255638,19.031263,31.335344,33.28346,1,1
460627563,19.178213,19.178213,19.992834,31.581556,33.542526,1,1
460827504,19.483877,19.483877,20.308062,31.730093,33.69787,1,1
461227499,19.819212,19.819212,20.655132,31.647085,33.602554,1,1
461427504,19.441956,19.441956,20.259972,31.758905,33.715847,1,1
461627504,18.98524,18.98524,19.783693,32.199734,34.18162,1,1
461827510,19.152596,19.152596,19.959583,32.748848,34.7605,1,1
462027540,19.546658,19.546658,20.366331,32.954998,34.975967,1,1
462227502,19.680988,19.680988,20.504797,34.16938,36.260456,1,1
462427538,19.49739,19.49739,20.312616,35.578907,37.752792,1,1
462627655,19.289743,19.289743,20.094515,36.96605,39.219994,1,1
462827652,19.041206,19.041206,19.835062,38.34332,40.678192,1,1
463027873,18.846228,18.846228,19.631037,39.47198,41.871655,1,1
463227519,19.04606,19.04606,19.835777,40.23954,42.684,1,1
463427522,18.812403,18.812403,19.59462,40.074955,42.505367,1,1
463627511,18.571493,18.571493,19.343058,39.769783,42.178978,1,1
463827510,18.228466,18.228466,18.98609,39.358326,41.741302,1,1
464027518,18.13554,18.13554,18.885456,38.95355,41.308247,1,1
464227504,18.261837,18.261837,19.019268,38.470222,40.792824,1,1
464427499,18.888844,18.888844,19.667406,37.930912,40.214874,1,1
464627511,18.71583,18.71583,19.486746,37.44229,39.69453,1,1
464827524,18.73724,18.73724,19.507444,37.21998,39.453747,1,1
465027502,18.679876,18.679876,19.449528,37.136684,39.36097,1,1
465227511,19.256058,19.256058,20.047531,37.04442,39.257565,1,1
