timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
650357961,-2.8935816,-2.9957585,30.898876,1.0
650368696,-2.9508789,-3.0551093,30.898876,1.0
650379450,-2.941222,-3.0451114,30.898876,1.0
650390365,-2.8891487,-2.9907184,30.801172,1.0
650401107,-2.7125208,-2.8078809,30.801172,1.0
650411823,-2.2910788,-2.3716228,30.801172,1.0
650422538,-1.4874011,-1.5397012,30.801172,1.0
650433402,0.89220816,0.92358005,30.801172,1.0
650444171,1.6690288,1.7277153,30.801172,1.0
650454931,1.8927696,1.9593233,30.801172,1.0
650465912,1.8842875,1.9505429,30.801172,1.0
650476684,1.6783725,1.7373526,30.801172,1.0
650487478,1.2328068,1.2761291,30.801172,1.0
650498467,0.37143552,0.38448822,30.801172,1.0
650509216,-0.917727,-0.94997704,30.801172,1.0
650519965,-1.0519409,-1.0889184,30.801172,1.0
650531000,-0.9252629,-0.9577875,30.801172,1.0
650541773,-0.92062026,-0.95298165,30.801172,1.0
650552500,-0.99740195,-1.0324624,30.801172,1.0
650563498,-0.922337,-0.9547587,30.801172,1.0
650574229,-0.9543618,-0.98790926,30.801172,1.0
650585006,-1.2151142,-1.257818,30.801172,1.0
650596008,-1.5234927,-1.5770341,30.801172,1.0
650606732,-1.8664204,-1.9320136,30.801172,1.0
650617547,-2.227906,-2.3062031,30.801172,1.0
650628607,-2.479691,-2.566898,30.801172,1.0
650639333,-2.5081801,-2.596389,30.801172,1.0
650650100,-2.2729144,-2.3528495,30.801172,1.0
650661036,-1.7641202,-1.8261617,30.801172,1.0
650671752,-0.7919468,-0.8197984,30.801172,1.0
650682519,1.3908731,1.439788,30.801172,1.0
650693725,2.032899,2.1046968,30.898876,1.0
650704567,2.3904154,2.4748402,30.898876,1.0
650715292,2.602479,2.6943934,30.898876,1.0
650726353,2.722409,2.8185592,30.898876,1.0
650737079,2.817142,2.916638,30.898876,1.0
650747794,2.888931,2.9909847,30.898876,1.0
650758608,2.8394182,2.9397228,30.898876,1.0
650769332,2.6086173,2.7007687,30.898876,1.0
650780131,2.202603,2.2804117,30.898876,1.0
650791090,1.5497004,1.6044447,30.898876,1.0
650801865,-0.76413,-0.7911334,30.898876,1.0
650812659,-1.9697696,-2.039379,30.898876,1.0
650823831,-2.627464,-2.7203155,30.898876,1.0
650834703,-3.015869,-3.122446,30.898876,1.0
650845628,-3.2203891,-3.3340728,30.898876,1.0
650856364,-3.2521734,-3.3669791,30.898876,1.0
650867141,-3.0867133,-3.195678,30.898876,1.0
650878224,-2.7542903,-2.85152,30.898876,1.0
650889051,-2.2407117,-2.3198116,30.898876,1.0
650899819,-1.4333807,-1.4839808,30.898876,1.0
650910743,0.96460474,0.9986801,30.898876,1.0
650921469,1.9203532,1.9881911,30.898876,1.0
650932200,2.4229162,2.5085075,30.898876,1.0
650943157,2.6311533,2.7241008,30.898876,1.0
650953949,2.5717661,2.6626158,30.898876,1.0
650964703,2.3359485,2.4184675,30.898876,1.0
650975691,2.097665,2.1717668,30.898876,1.0
650986474,1.8690281,1.935053,30.898876,1.0
650997217,1.4128556,1.4627658,30.898876,1.0
651008182,-0.37237334,-0.3855282,30.898876,1.0
651019011,-1.6486343,-1.7068758,30.898876,1.0
651029734,-2.3184485,-2.4003525,30.898876,1.0
651040712,-2.730368,-2.8268237,30.898876,1.0
651051453,-2.9648232,-3.0695617,30.898876,1.0
651062177,-3.0607593,-3.168887,30.898876,1.0
651072956,-3.0400267,-3.1474142,30.898876,1.0
651083768,-2.9450912,-3.0486352,30.801172,1.0
651094490,-2.774028,-2.8715577,30.801172,1.0
651105259,-2.480515,-2.5677254,30.801172,1.0
651116246,-1.9897052,-2.0596545,30.801172,1.0
651126982,-1.1472378,-1.1875696,30.801172,1.0
651137773,1.0112432,1.0467942,30.801172,1.0
651148787,1.489832,1.5422081,30.801172,1.0
651159517,1.4861487,1.5383953,30.801172,1.0
651170301,1.1932521,1.2352016,30.801172,1.0
651181423,0.4536662,0.4696906,30.898876,1.0
651192344,-1.0098257,-1.0454947,30.898876,1.0
651203292,-1.4068345,-1.4565266,30.898876,1.0
651214020,-1.6921461,-1.7519159,30.898876,1.0
651224742,-1.9495503,-2.0184803,30.898876,1.0
651235847,-2.16724,-2.2438667,30.898876,1.0
651246563,-2.3440795,-2.4269588,30.898876,1.0
651257362,-2.4829993,-2.5707905,30.898876,1.0
651268370,-2.554981,-2.645317,30.898876,1.0
651279196,-2.5478299,-2.6374598,30.801172,1.0
651289975,-2.5247571,-2.6135752,30.801172,1.0
651300894,-2.5273645,-2.6162744,30.801172,1.0
651311653,-2.546216,-2.6357892,30.801172,1.0
651322399,-2.5399945,-2.6293488,30.801172,1.0
651333365,-2.4836125,-2.5709705,30.801172,1.0
651344104,-2.4328976,-2.5184717,30.801172,1.0
651354832,-2.4256766,-2.5109968,30.801172,1.0
651365619,-2.447256,-2.5333352,30.801172,1.0
651376597,-2.4501452,-2.5367336,30.898876,1.0
651387450,-2.3250582,-2.4072258,30.898876,1.0
651398430,-2.063347,-2.136239,30.898876,1.0
651409162,-1.7378633,-1.7992569,30.898876,1.0
651419946,-1.2024704,-1.2449502,30.898876,1.0
651431088,0.6248804,0.64695555,30.898876,1.0
651441819,1.2888039,1.3343537,30.898876,1.0
651452553,1.3067571,1.3529414,30.898876,1.0
651463450,0.45446175,0.47052366,30.898876,1.0
651474172,-1.5956309,-1.6520247,30.898876,1.0
651484981,-2.3890667,-2.4735026,30.898876,1.0
651495952,-2.950441,-3.0547407,30.898876,1.0
651506705,-3.3699405,-3.4890697,30.898876,1.0
651517527,-3.655949,-3.785189,30.898876,1.0
651528495,-3.820381,-3.9554336,30.898876,1.0
651539256,-3.928428,-4.0673,30.898876,1.0
651550004,-3.9722242,-4.112577,30.898876,1.0
651561053,-3.8981109,-4.035845,30.898876,1.0
651571898,-3.7454398,-3.8777792,30.898876,1.0
651582627,-3.5469418,-3.6722677,30.898876,1.0
651593652,-3.3010771,-3.4177158,30.898876,1.0
651604397,-3.0609984,-3.1691823,30.898876,1.0
651615141,-2.8701453,-2.971584,30.898876,1.0
651626035,-2.7295237,-2.8259923,30.898876,1.0
651636771,-2.6357331,-2.728887,30.898876,1.0
651647553,-2.5483553,-2.638421,30.898876,1.0
651658268,-2.400991,-2.48582,30.898876,1.0
651669268,-2.178127,-2.2550821,30.898876,1.0
651680085,-1.9471656,-2.0159607,30.898876,1.0
651691179,-1.8736675,-1.9398658,30.898876,1.0
651701982,-2.0663514,-2.1393576,30.898876,1.0
651712706,-2.4170163,-2.5024464,30.898876,1.0
651723596,-2.7572205,-2.8546753,30.898876,1.0
651734347,-3.0223866,-3.1292138,30.898876,1.0
651745106,-3.2246227,-3.338598,30.898876,1.0
651756038,-3.3745291,-3.493803,30.898876,1.0
651766763,-3.4815829,-3.6046584,30.898876,1.0
651777512,-3.5250132,-3.6490378,30.801172,1.0
651788285,-3.4961407,-3.6191494,30.801172,1.0
651799158,-3.3968976,-3.5164144,30.801172,1.0
651809967,-3.229326,-3.342922,30.801172,1.0
651820715,-3.0506563,-3.1579673,30.801172,1.0
651831645,-2.8752542,-2.9763951,30.801172,1.0
651842412,-2.649376,-2.7425714,30.801172,1.0
651853210,-2.4381998,-2.5239668,30.801172,1.0
651874931,-2.6681228,-2.7624145,30.898876,1.0
651885680,-2.8045056,-2.903617,30.898876,1.0
651896646,-2.6784308,-2.7730868,30.898876,1.0
651907389,-2.4131312,-2.4984114,30.898876,1.0
651918108,-2.2636037,-2.3435996,30.898876,1.0
651928835,-2.2974093,-2.378576,30.898876,1.0
651939551,-2.4848058,-2.5725932,30.898876,1.0
651950289,-2.7339194,-2.830508,30.898876,1.0
651961325,-2.9532988,-3.057638,30.898876,1.0
651972085,-3.1690364,-3.2804706,30.801172,1.0
651982816,-3.362203,-3.480499,30.801172,1.0
651993738,-3.495673,-3.6186652,30.801172,1.0
652004457,-3.5832157,-3.7092881,30.801172,1.0
652015174,-3.5833313,-3.7094078,30.801172,1.0
652025948,-3.3930342,-3.5124152,30.801172,1.0
652036764,-2.9169002,-3.0195553,30.801172,1.0
652047479,-2.200535,-2.277979,30.801172,1.0
652058244,-1.406436,-1.455933,30.801172,1.0
652069266,-0.25494355,-0.26395822,30.898876,1.0
652090838,1.8088828,1.8728372,30.898876,1.0
652101870,2.0950983,2.1691718,30.898876,1.0
652112606,2.2549007,2.3346243,30.898876,1.0
652134359,2.1214106,2.1964173,30.898876,1.0
652145122,1.749365,1.8112173,30.898876,1.0
652155854,1.0409124,1.0777159,30.898876,1.0
652166814,-1.2217388,-1.2649359,30.898876,1.0
652177550,-2.0183558,-2.0897188,30.898876,1.0
652188363,-2.4216177,-2.5072389,30.898876,1.0
652199316,-2.639943,-2.7332695,30.898876,1.0
652210051,-2.8152213,-2.9147444,30.898876,1.0
652220870,-2.9570005,-3.0615356,30.898876,1.0
652231970,-2.9759254,-3.0811296,30.898876,1.0
652242743,-2.7834482,-2.881848,30.898876,1.0
652253458,-2.2314034,-2.3103075,30.898876,1.0
652264370,-0.8843695,-0.91564155,30.898876,1.0
652275193,1.9460362,2.0148497,30.898876,1.0
652285944,2.8321025,2.9322479,30.898876,1.0
652296943,3.4204302,3.5413485,30.898876,1.0
652307659,3.8374846,3.9731464,30.898876,1.0
652318403,4.0881147,4.232637,30.898876,1.0
652329427,4.161752,4.3088775,30.898876,1.0
652340146,4.1266217,4.272505,30.898876,1.0
652351016,4.0015464,4.143008,30.898876,1.0
652362134,3.7450857,3.8775833,30.898876,1.0
652372868,3.3410208,3.459223,30.898876,1.0
652383914,2.7167182,2.812833,30.898876,1.0
652394640,1.8202609,1.88466,30.898876,1.0
652405366,-0.48026097,-0.4972471,30.898876,1.0
652416100,-1.716803,-1.7775238,30.898876,1.0
652427104,-2.1216486,-2.1966882,30.898876,1.0
652437821,-2.3145785,-2.396442,30.898876,1.0
652448558,-2.4649847,-2.5521677,30.898876,1.0
652459480,-2.6184733,-2.711024,30.898876,1.0
652470205,-2.796485,-2.8948627,30.801172,1.0
652481000,-2.8702168,-2.9711883,30.801172,1.0
652491971,-2.7029996,-2.7980886,30.801172,1.0
652502718,-2.3261483,-2.40798,30.801172,1.0
652513513,-1.9069967,-1.974083,30.801172,1.0
652524479,-1.5690353,-1.6242485,30.801172,1.0
652535218,-1.2623503,-1.3067715,30.801172,1.0
652545934,-0.9957146,-1.030753,30.801172,1.0
652556648,-0.88374954,-0.914848,30.801172,1.0
652567372,-0.9157772,-0.94815516,30.898876,1.0
652578104,-0.92551863,-0.9582349,30.898876,1.0
652589143,-0.6842255,-0.7084123,30.898876,1.0
652599896,-0.23937064,-0.2478322,30.898876,1.0
652610619,-0.6511681,-0.67418635,30.898876,1.0
652621547,-1.358837,-1.4068955,30.898876,1.0
652632327,-2.0096445,-2.0807204,30.898876,1.0
652643094,-2.5590024,-2.6495075,30.898876,1.0
652654056,-3.01005,-3.1165075,30.898876,1.0
652664783,-3.315474,-3.4321818,30.801172,1.0
652675511,-3.491446,-3.6143482,30.801172,1.0
652686238,-3.680411,-3.8099506,30.801172,1.0
652697125,-3.9079666,-4.0455155,30.801172,1.0
652707914,-4.0208354,-4.162357,30.801172,1.0
652718634,-3.913843,-4.0515985,30.801172,1.0
652729607,-3.6395755,-3.7676873,30.801172,1.0
652740338,-3.2808638,-3.396349,30.801172,1.0
652751118,-2.8303018,-2.9299273,30.801172,1.0
652761840,-2.2114582,-2.2896686,30.898876,1.0
652772566,-1.2565943,-1.3010349,30.898876,1.0
652783282,1.0999053,1.1387988,30.898876,1.0
652794165,1.7492439,1.8110986,30.898876,1.0
652804931,2.0812771,2.154873,30.898876,1.0
652815672,2.3028343,2.3842645,30.898876,1.0
652826707,2.414772,2.5001602,30.898876,1.0
652837435,2.2964184,2.3776217,30.898876,1.0
652848217,1.8649383,1.9309009,30.898876,1.0
652859163,1.1134176,1.152799,30.898876,1.0
652869906,-1.05011,-1.0872523,30.898876,1.0
652880711,-1.9333308,-2.0017123,30.898876,1.0
652891682,-2.5196767,-2.608791,30.898876,1.0
652902429,-2.920212,-3.0234923,30.898876,1.0
652913335,-3.1424239,-3.2535632,30.898876,1.0
652924229,-3.1339178,-3.2447562,30.898876,1.0
652934945,-2.884805,-2.9868329,30.898876,1.0
652945663,-2.374103,-2.4580872,30.898876,1.0
652956403,-1.6584536,-1.7168456,30.801172,1.0
652967272,-0.85263765,-0.8826579,30.801172,1.0
652978042,0.61139935,0.6329259,30.801172,1.0
652988814,0.8913142,0.92269623,30.801172,1.0
652999791,0.9578793,0.99159014,30.801172,1.0
653010513,0.91646385,0.9487172,30.801172,1.0
653021295,-0.2909502,-0.3011897,30.801172,1.0
653032251,-1.4248215,-1.4749656,30.801172,1.0
653042977,-1.9804214,-2.0501187,30.801172,1.0
653053701,-2.2529416,-2.3322706,30.801172,1.0
653064428,-2.4157274,-2.5007885,30.801172,1.0
653075144,-2.540606,-2.630064,30.801172,1.0
653085913,-2.6331398,-2.7258563,30.801172,1.0
653096837,-2.7369328,-2.8333037,30.801172,1.0
653107572,-2.9099505,-3.0123649,30.801172,1.0
653118369,-3.0761943,-3.1844594,30.801172,1.0
653129311,-3.131033,-3.241228,30.801172,1.0
653140049,-3.0805006,-3.1889174,30.801172,1.0
