timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
471223329,471221030,-0.6038175,0.05708469,-0.70957524,-0.6354102,-0.5907964,-0.43059805,-2.5618563,-1.198822,-2.7283869,-2.4053192,-3.024869,-20.849163,4.555393,3.2399483,2.814794,4.7914114,-2.3714533,0.013810282,0.013810282,0.94475883,0.013810282,0.013810282
472223954,472221555,-0.49215496,0.057147253,-0.59977525,-0.5237132,-0.47893125,-0.31966653,-2.4414964,-0.13421822,-1.7991276,-1.607336,-2.5827632,-16.607622,3.4943106,2.265898,1.8527026,3.6436217,-6.202139,0.0139276795,0.0139276795,0.94428927,0.0139276795,0.0139276795
473229304,473222080,-0.37491316,0.060439665,-0.48238507,-0.40539995,-0.36053267,-0.20275581,-2.3084962,-3.2427883,-5.080064,-5.039319,-6.425175,-17.030952,3.6996453,2.587524,2.2087414,3.8987184,-9.57815,0.014996827,0.014996827,0.94001263,0.014996827,0.014996827
474224958,474222623,-0.43702203,0.06044813,-0.5518558,-0.47207698,-0.4219597,-0.26369566,-2.3491175,-3.1011953,-4.840927,-4.7787275,-6.0247974,-16.644983,3.2282948,2.1889396,1.8327973,3.4360628,-8.713047,0.015851522,0.015355855,0.93819886,0.015296865,0.015296865
475225748,475223136,-0.6285676,0.05956264,-0.741083,-0.6621989,-0.6133014,-0.45710236,-2.5285816,-3.4644156,-4.9459085,-4.7570524,-5.5553827,-17.67821,1.2224784,0.17957687,-0.18785715,1.2798722,-6.4016204,0.01760018,0.015311243,0.9366438,0.015222318,0.015222318
476230623,476223655,-0.6993382,0.061206292,-0.8115744,-0.73206496,-0.68337137,-0.5279341,-2.5937178,-4.442309,-5.7238445,-5.441143,-5.8903923,-17.80709,2.3800101,1.2679715,0.850276,2.0583992,-1.2067046,0.019273221,0.015731214,0.93353313,0.015731214,0.015731214
477226903,477224181,-0.65706134,0.063114665,-0.7705713,-0.6897145,-0.6403928,-0.48468417,-2.5521355,-5.2828517,-6.55116,-6.28416,-6.6925945,-14.410042,0.6332321,-0.6516113,-1.182498,-0.4619832,-0.56361437,0.021146787,0.016204795,0.9302388,0.016204795,0.016204795
478231919,478224697,-0.6302349,0.06471276,-0.7439061,-0.66228974,-0.61271715,-0.45653123,-2.5284665,-4.8627396,-6.02992,-5.7292385,-5.980443,-12.559643,-1.3301325,-2.6812134,-3.2563853,-2.7612963,-0.29043388,0.025421066,0.016652148,0.9247324,0.016655732,0.016538622
479232136,479225221,-0.6909362,0.06775203,-0.80335927,-0.7214867,-0.6724057,-0.5165173,-2.5894363,-6.758872,-7.739904,-7.3598256,-7.3526745,-16.238686,0.038809776,-1.2305622,-1.7633476,-1.1802101,2.766563,0.027829152,0.017328406,0.92018557,0.017328406,0.017328406
480233080,480225746,-0.62870455,0.07567255,-0.74387556,-0.6571598,-0.6083022,-0.45093146,-2.5545151,-8.400553,-9.16712,-8.691983,-8.386015,-20.182,-1.7277193,-2.9075203,-3.3911743,-2.6822863,2.8951597,0.032250606,0.01889337,0.9108703,0.019092364,0.01889337
481233295,481226246,-0.6165884,0.07833637,-0.73178506,-0.64410096,-0.595574,-0.4386342,-2.5495195,-8.274902,-8.901346,-8.37646,-7.901421,-21.181063,-3.578133,-4.699658,-5.1544147,-4.393348,2.120891,0.03608908,0.021012502,0.9013087,0.022190368,0.01939924
482229378,482226758,-0.5783344,0.07676623,-0.6916085,-0.60640013,-0.5568651,-0.4006987,-2.4932823,-8.540678,-9.483271,-9.173246,-9.304646,-17.57292,-1.9539251,-3.0563445,-3.516716,-2.8952618,-1.2958794,0.04172925,0.019977145,0.8951957,0.023818122,0.019279702
