timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
414090426,1627401622600098,386218496,-91533010,53499,101724,1.7540001,0.6239753,5.768,13.016001,1.17,2.44,89,8,0.38500002,0.326,-0.20500001,-0.64100003,3.6032524,0,nan,0.0,3,0,1,8,0
414289718,1627401622800098,386218486,-91533025,52828,101054,1.5840001,0.6240449,5.7920003,13.0460005,1.17,2.44,89,8,0.859,-0.78800005,0.34,-0.125,3.6032524,0,nan,0.0,3,0,1,8,0
414486537,1627401623000098,386218474,-91533035,52264,100489,1.6370001,0.62411684,5.8110003,13.089001,1.17,2.44,89,8,0.40800002,-0.38200003,0.143,-0.53000003,3.6032524,0,nan,0.0,3,0,1,8,0
414690346,1627401623200098,386218472,-91533035,52336,100562,1.6,0.6241871,5.8290005,13.128,1.17,2.44,89,8,0.05,-0.030000001,-0.040000003,-0.342,3.6032524,0,nan,0.0,3,0,1,8,0
414891576,1627401623400098,386218475,-91533044,52404,100629,1.582,0.6242566,5.834,13.142,1.17,2.44,88,16,0.708,0.572,-0.418,-0.80500007,3.6032524,0,nan,0.0,3,0,1,8,0
415088073,1627401623600098,386218483,-91533055,52532,100758,1.5970001,0.62432677,5.8420005,13.157001,1.17,2.44,88,16,0.64900005,0.499,-0.41400003,-1.197,3.6032524,0,nan,0.0,3,0,1,8,0
415291415,1627401623800098,386218487,-91533076,52275,100500,1.5220001,0.62439364,5.8440003,13.172001,1.17,2.44,88,16,0.60400003,0.28800002,-0.531,-0.38500002,3.6032524,0,nan,0.0,3,0,1,8,0
415488656,1627401624000098,386218489,-91533103,51885,100111,1.5450001,0.62446153,5.8510003,13.186001,1.17,2.44,88,16,0.776,0.45700002,-0.62700003,-0.70100003,3.6032524,0,nan,0.0,3,0,1,8,0
415691033,1627401624200098,386218484,-91533124,51536,99762,1.7860001,0.6245401,5.861,13.202001,1.17,2.44,88,16,0.573,-0.37100002,-0.43600002,0.011000001,3.6032524,0,nan,0.0,3,0,1,8,0
415897434,1627401624400098,386218478,-91533126,51244,99469,1.59,0.6246099,5.867,13.213,1.17,2.44,83,20,0.522,-0.16100001,0.497,0.039,3.6032524,0,nan,0.0,3,0,1,8,0
