timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
401114231,401112395,0,nan,nan,-0.019896941,-0.0170986,-0.0964259,0.0,0.0,0.0,-0.012650884,-0.008178658,0.09383145,0.024788085,-0.00071485934,-0.0009356753,0.0,-0.04955734,0.017432222,-0.109446995,-0.21810815,-2.2562287,nan,0.1,0.23404339,0.4843346,0.15743655,0.11357364,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
401214631,401212510,0,nan,nan,-0.020583339,-0.017183388,-0.089427345,0.0,0.0,0.0,-0.016801372,-0.0086847525,0.094570704,0.029966058,-0.00071485934,-0.0009356753,0.0,-0.032435387,-0.06491356,-0.019056715,-0.21985929,-2.2562287,nan,0.10306462,0.23505986,0.48368,0.15554342,0.11348357,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
401314897,401312553,0,nan,nan,-0.021201741,-0.017593617,-0.07962693,0.0,0.0,0.0,-0.013057771,-0.014883136,0.09560739,0.037702743,-0.00071485934,-0.0009356753,0.0,0.04131066,-0.044534534,0.0039374423,-0.21913086,-2.2562287,nan,0.11139642,0.24927448,0.4830345,0.1607416,0.113396056,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
401414888,401412636,0,nan,nan,-0.0214779,-0.018069739,-0.06861364,0.0,0.0,0.0,-0.014572485,-0.008773541,0.09835036,0.04747794,-0.00071485934,-0.0009356753,0.0,-0.028363584,0.1363858,0.14013878,-0.21786991,-2.2562287,nan,0.10516016,0.24802268,0.48239803,0.15787634,0.113309845,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
401515101,401512712,0,nan,nan,-0.021989655,-0.01753448,-0.060223676,0.0,0.0,0.0,-0.01658504,-0.0030937765,0.09868033,0.05142423,-0.00071485934,-0.0009356753,0.0,0.0024938385,-0.046395775,0.006459624,-0.21937393,-2.2562287,nan,0.1,0.2624005,0.48175412,0.16306552,0.11322208,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
401614926,401612788,0,nan,nan,-0.022328094,-0.017244218,-0.05436063,0.0,0.0,0.0,-0.015285611,-0.011510598,0.09730211,0.05082688,-0.00071485934,-0.0009356753,0.0,0.011267836,-0.08634631,-0.024527907,-0.21981254,-2.2562287,nan,0.1,0.25891057,0.48574674,0.15936217,0.11376317,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
401714838,401712873,0,nan,nan,-0.022441572,-0.017316403,-0.048232257,0.0,0.0,0.0,-0.014995199,-0.009979702,0.09609424,0.05065094,-0.00071485934,-0.0009356753,0.0,-0.029956467,0.06523694,-0.029547656,-0.21867403,-2.2562287,nan,0.1,0.27335197,0.48510218,0.1645468,0.11367604,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
401814825,401812952,0,nan,nan,-0.02263241,-0.016837062,-0.041924167,0.0,0.0,0.0,-0.01758984,-0.0049490696,0.09644706,0.052114505,-0.00071485934,-0.0009356753,0.0,-0.031606946,-0.01574395,-0.054504298,-0.21949562,-2.2562287,nan,0.1,0.2677781,0.48445007,0.16019405,0.11358691,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
401915504,401913030,0,nan,nan,-0.022857916,-0.016293973,-0.03704235,0.0,0.0,0.0,-0.01535938,-0.0076070013,0.09549328,0.050841384,-0.00071485934,-0.0009356753,0.0,0.031256605,-0.056422018,0.045028545,-0.22029164,-2.2562287,nan,0.1,0.28220394,0.48380703,0.16535941,0.11350002,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
402015501,402013116,0,nan,nan,-0.020040208,-0.014188057,-0.033317264,0.0,0.0,0.0,-0.012246892,-0.009866784,0.093071125,0.04715864,-0.00071485934,-0.0009356753,0.0,-0.020483123,0.011778345,-0.06120506,-0.21852767,-2.2562287,nan,0.1,0.12987684,0.48315656,0.102527075,0.11341019,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
402115320,402113194,0,nan,nan,-0.015555328,-0.010621687,-0.03147145,0.0,0.0,0.0,-0.012517676,-0.0042127566,0.093022145,0.04423733,-0.00071485934,-0.0009356753,0.0,0.018421913,0.05799894,0.02662049,-0.21822387,-2.2562287,nan,0.1,0.13697736,0.4825153,0.10729874,0.113323,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
402215487,402213275,0,nan,nan,-0.011889182,-0.007399026,-0.029477209,0.0,0.0,0.0,-0.008264943,-0.0024448067,0.0927262,0.04151045,-0.00071485934,-0.0009356753,0.0,0.04099262,-0.024502115,0.03913735,-0.21881345,-2.2562287,nan,0.1,0.102292754,0.48186666,0.097390175,0.11323408,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
402315908,402313357,0,nan,nan,-0.008906592,-0.004754973,-0.02871509,0.0,0.0,0.0,-0.007858309,-0.001949249,0.09089485,0.036497768,-0.00071485934,-0.0009356753,0.0,0.03075178,-0.054089807,0.056943662,-0.21901192,-2.2562287,nan,0.1,0.108441845,0.4858578,0.10223142,0.11377436,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
402415816,402413439,0,nan,nan,-0.0066099362,-0.00293171,-0.027264187,0.0,0.0,0.0,-0.0051816176,-0.002860197,0.0875815,0.031184215,-0.00071485934,-0.0009356753,0.0,0.039461352,0.0031653624,0.02546459,-0.21855465,-2.2562287,nan,0.1,0.09027372,0.4852086,0.097774684,0.11368628,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
402515690,402513553,0,nan,nan,-0.004739063,-0.0013758347,-0.024704812,0.0,0.0,0.0,-0.0056919465,0.0036785067,0.0887702,0.031717114,-0.00071485934,-0.0009356753,0.0,-0.064090885,0.06157697,-0.060348723,-0.21791776,-2.2562287,nan,0.1,0.09645708,0.4845521,0.102673985,0.1135962,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
402615809,402613603,0,nan,nan,-0.0035433471,2.5274865e-05,-0.021460978,0.0,0.0,0.0,-0.005881226,0.0016712345,0.08928173,0.032280035,-0.00071485934,-0.0009356753,0.0,0.019901058,0.011483149,-0.074618496,-0.2187788,-2.2562287,nan,0.1,0.08432819,0.48390463,0.09928051,0.11350813,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
402716641,402713689,0,nan,nan,-0.0025782934,0.0009229998,-0.017079575,0.0,0.0,0.0,-0.0032922837,-0.00031038641,0.08973698,0.033994924,-0.00071485934,-0.0009356753,0.0,-0.022701818,-0.018581372,0.001443127,-0.2183203,-2.2562287,nan,0.1,0.09088065,0.4832663,0.104192756,0.11342204,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
402816141,402813766,0,nan,nan,-0.0018901107,0.00149904,-0.012336598,0.0,0.0,0.0,-0.0049731727,0.0016670993,0.089166135,0.03482317,-0.00071485934,-0.0009356753,0.0,-0.033339523,-0.033721615,-0.025208516,-0.21855582,-2.2562287,nan,0.1,0.081537224,0.48262045,0.1006254,0.113333695,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
402916023,402913854,0,nan,nan,-0.0015687885,0.0020350597,-0.0078901425,0.0,0.0,0.0,-0.005738254,0.0010843329,0.086743854,0.033315334,-0.00071485934,-0.0009356753,0.0,0.043881703,-0.051215127,-0.08462397,-0.21904221,-2.2562287,nan,0.1,0.08853342,0.48198348,0.10554768,0.11324758,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
403016249,403013935,0,nan,nan,-0.0012232728,0.0019556193,-0.0038461993,0.0,0.0,0.0,-0.0028707266,-0.0037019819,0.087369904,0.034548253,-0.00071485934,-0.0009356753,0.0,-0.028169677,0.08155152,0.074213974,-0.21750195,-2.2562287,nan,0.1,0.0804969,0.48597318,0.101337396,0.113787346,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
403116315,403114024,0,nan,nan,-0.0011410074,0.0020872147,0.0015651229,0.0,0.0,0.0,-0.0070507703,0.004087827,0.08789101,0.03688707,-0.00071485934,-0.0009356753,0.0,0.024769269,0.07633281,-0.044419806,-0.21722536,-2.2562287,nan,0.1,0.087877356,0.4853193,0.10624917,0.11369796,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
403216296,403214093,0,nan,nan,-0.0010468563,0.0028265587,0.006127565,0.0,0.0,0.0,-0.002328962,0.0060749333,0.08775319,0.037560206,-0.00071485934,-0.0009356753,0.0,0.0059915255,-0.11190766,8.769784e-05,-0.21979897,-2.2562287,nan,0.1,0.08035834,0.48467436,0.10127954,0.11361091,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
403316498,403314175,0,nan,nan,-0.0008870329,0.0030087077,0.011957086,0.0,0.0,0.0,-0.0037751114,-0.0026436043,0.088230155,0.039978262,-0.00071485934,-0.0009356753,0.0,-0.025043858,-0.100152075,-0.18574888,-0.22022843,-2.2562287,nan,0.1,0.08800483,0.4840221,0.10616605,0.11352142,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
403416543,403414274,0,nan,nan,-0.0007432282,0.0025565112,0.018609166,0.0,0.0,0.0,-0.00057246024,0.0016605934,0.087054655,0.041460454,-0.00071485934,-0.0009356753,0.0,0.020801065,0.12266176,-0.0003182496,-0.21858855,-2.2562287,nan,0.1,0.080583476,0.48337898,0.100544095,0.11343413,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
403516426,403514339,0,nan,nan,-0.0005719286,0.0025583783,0.025724748,0.0,0.0,0.0,-0.0048205364,0.0012898642,0.0862953,0.04354755,-0.00071485934,-0.0009356753,0.0,-0.052393857,-0.0066828122,-0.05762465,-0.21967115,-2.2562287,nan,0.10067157,0.088370845,0.48272854,0.10540816,0.11334482,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
403617030,403614421,0,nan,nan,-0.0006584063,0.0025563184,0.032343697,0.0,0.0,0.0,-0.003749197,-0.00088724773,0.08577289,0.04513857,-0.00071485934,-0.0009356753,0.0,0.022408077,-0.110186,-0.10597302,-0.21974756,-2.2562287,nan,0.1,0.08086003,0.48208708,0.09934578,0.113257654,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
