timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
402692263,402687143,1114122,0.18514863,0.03553195,0.35332105,2
402712956,402707643,1114122,0.18451354,0.0358006,0.35243207,2
402735020,402729091,1114122,0.18404666,0.032091722,0.34659016,2
402756055,402750707,1114122,0.18578394,0.035411358,0.35412276,2
402778051,402772617,1114122,0.18518873,0.03737102,0.35316664,2
402799829,402794144,1114122,0.18399799,0.036694944,0.35146236,2
402820052,402814893,1114122,0.18467216,0.038111493,0.35272962,2
402841066,402835740,1114122,0.18518811,0.035823517,0.35350314,2
402862411,402857289,1114122,0.18430933,0.03598416,0.35528612,2
402883053,402877739,1114122,0.1842704,0.03808442,0.354823,2
402905016,402899198,1114122,0.18471025,0.035968147,0.3536824,2
402926101,402920789,1114122,0.18423282,0.03644687,0.35359856,2
402947498,402942369,1114122,0.18435287,0.03674535,0.35324615,2
402968158,402962789,1114122,0.18506634,0.0361007,0.35479882,2
402989982,402984257,1114122,0.18470974,0.036332056,0.35395446,2
403010083,403004936,1114122,0.18542597,0.036441684,0.35400176,2
403031105,403025789,1114122,0.18579131,0.0370434,0.35008872,2
403052622,403047453,1114122,0.18352887,0.032676615,0.34681964,2
403073108,403067790,1114122,0.18494767,0.03772224,0.35441852,2
403095284,403089318,1114122,0.18379278,0.036100123,0.35484105,2
403116151,403110837,1114122,0.18474883,0.038127482,0.35433424,2
403138202,403132838,1114122,0.18451035,0.036623064,0.35418066,2
403160199,403154327,1114122,0.18411356,0.0376603,0.35352492,2
403180260,403175121,1114122,0.1838722,0.038450055,0.35496068,2
403201234,403195914,1114122,0.18359366,0.037384726,0.3549464,2
403223256,403217887,1114122,0.18427148,0.036622487,0.35422477,2
403245274,403239398,1114122,0.18446785,0.03741224,0.35566136,2
403265286,403260168,1114122,0.18331754,0.040267944,0.35360175,2
403285487,403280268,1114122,0.18339477,0.03973695,0.3548873,2
403306201,403300901,1114122,0.18450913,0.039223224,0.35483816,2
403327845,403322162,1114122,0.18427178,0.038351353,0.3540689,2
403348254,403342934,1114122,0.18436673,0.036328986,0.34566516,2
403369258,403363895,1114122,0.18502998,0.038476534,0.35291326,2
403391258,403385724,1114122,0.18478978,0.03813555,0.35371053,2
403412848,403407221,1114122,0.18391323,0.038201537,0.3542891,2
403433303,403427995,1114122,0.18470761,0.037455883,0.3551276,2
403454409,403448955,1114122,0.183757,0.039361652,0.352655,2
403475602,403470361,1114122,0.1834364,0.038647544,0.35389292,2
403496340,403490960,1114122,0.18411444,0.03924626,0.3530552,2
403518029,403512310,1114122,0.18462664,0.03726241,0.35588253,2
403539306,403533993,1114122,0.18387252,0.03797479,0.3547763,2
403560463,403555370,1114122,0.18455097,0.0387968,0.3537187,2
403581350,403575999,1114122,0.18447852,0.03701013,0.34981847,2
403603023,403597332,1114122,0.1847515,0.039101616,0.35287625,2
403624358,403619069,1114122,0.1844725,0.04005387,0.35311088,2
403646441,403640945,1114122,0.18403208,0.03926341,0.35457042,2
403668065,403662408,1114122,0.18141454,0.034477107,0.34964648,2
403688181,403683030,1114122,0.18315595,0.038781248,0.35491908,2
403709419,403704096,1114122,0.18439177,0.03795131,0.353752,2
403730604,403725518,1114122,0.18478766,0.037385866,0.35485947,2
403751458,403746093,1114122,0.18399125,0.037455887,0.3551263,2
403773156,403767449,1114122,0.18490756,0.03658115,0.35458192,2
403793410,403788214,1114122,0.18478847,0.037575305,0.3544163,2
403814442,403809104,1114122,0.1853855,0.038384065,0.3543833,2
403835909,403830667,1114122,0.18550889,0.036502033,0.3521756,2
403856581,403851126,1114122,0.1845873,0.037633225,0.3556199,2
403878236,403872496,1114122,0.18259615,0.036925457,0.35636464,2
403898410,403893284,1114122,0.18414858,0.0367814,0.35614282,2
403919414,403914091,1114122,0.18435213,0.039753072,0.3536415,2
403940746,403935666,1114122,0.18367551,0.038466185,0.3537128,2
403961426,403956097,1114122,0.18375608,0.036268964,0.35314977,2
403983589,403977578,1114122,0.18451265,0.039431673,0.35292464,2
404004471,403999160,1114122,0.1845125,0.038475394,0.35300148,2
404026536,404021137,1114122,0.18527038,0.039149307,0.35203114,2
404048542,404042653,1114122,0.18490851,0.038314626,0.3540696,2
404090886,404085796,1114122,0.18427444,0.03557788,0.352607,2
404111604,404106263,1114122,0.18404007,0.033772215,0.3501769,2
404133481,404127664,1114122,0.18495268,0.035075694,0.35166594,2
404153567,404148432,1114122,0.18459812,0.037746567,0.34969455,2
404174591,404169262,1114122,0.18380274,0.036390807,0.34940818,2
404196239,404190954,1114122,0.18555297,0.037818316,0.34983093,2
404218634,404212725,1114122,0.18427995,0.03701301,0.34959534,2
404249147,404238682,1114122,0.18415892,0.03712395,0.35048783,2
404271013,404265229,1114122,0.18376118,0.037811402,0.3503623,2
404291106,404286006,1114122,0.18415825,0.037364244,0.35084742,2
404312099,404306788,1114122,0.18451627,0.037142664,0.35093433,2
404333613,404328507,1114122,0.1845541,0.035328228,0.352025,2
404354105,404348806,1114122,0.1845146,0.035991766,0.35185528,2
404375211,404369807,1114122,0.18444237,0.03472112,0.3478281,2
