timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
70547249,70547232,2228234,0.012217306,0.031764995,0.024434611,36.0,0
70648234,70648215,2228234,0.034208458,0.030543266,0.02199115,36.0,0
70847466,70847443,2228234,0.0036651918,0.041538842,0.025656343,36.0,0
70948558,70948535,2228234,0.018325958,0.037873648,0.024434611,36.0,0
71245141,71245122,2228234,0.01954769,0.028099803,0.018325958,36.0,0
71347703,71347677,2228234,0.031764995,0.02199115,0.025656343,36.0,0
71747913,71747890,2228234,0.006108653,0.028099803,0.023212882,36.0,0
71847925,71847909,2228234,0.014660767,0.030543266,0.028099803,36.0,0
71945485,71945467,2228234,0.017104229,0.028099803,0.024434611,36.0,0
72348133,72348117,2228234,0.010995575,0.031764995,0.025656343,36.0,0
72448214,72448198,2228234,0.009773845,0.03543019,0.023212882,36.0,0
72545844,72545827,2228234,0.017104229,0.032986727,0.032986727,36.0,0
72848391,72848375,2228234,0.025656343,0.017104229,0.029321535,36.0,0
72946102,72946079,2228234,0.010995575,0.028099803,0.018325958,36.0,0
73048488,73048472,2228234,0.013439037,0.028099803,0.01954769,36.0,0
73148630,73148593,2228234,0.012217306,0.029321535,0.031764995,36.0,0
73248612,73248596,2228234,0.028099803,0.032986727,0.034208458,37.0,0
73447456,73447436,2228234,0.025656343,0.024434611,0.020769421,37.0,0
73548890,73548867,2228234,0.02199115,0.028099803,0.032986727,37.0,0
73647652,73647636,2228234,0.010995575,0.032986727,0.020769421,37.0,0
73848913,73848897,2228234,0.009773845,0.028099803,0.034208458,37.0,0
73949032,73949009,2228234,0.018325958,0.030543266,0.02199115,37.0,0
74048058,74048041,2228234,0.02199115,0.031764995,0.03909538,37.0,0
74149025,74149009,2228234,0.023212882,0.031764995,0.025656343,37.0,0
74249080,74249064,2228234,0.02199115,0.020769421,0.023212882,37.0,0
74345494,74345478,2228234,0.013439037,0.031764995,0.01954769,37.0,0
74749338,74749322,2228234,0.015882498,0.031764995,0.01954769,37.0,0
75047125,75047102,2228234,0.014660767,0.025656343,0.01954769,37.0,0
75149558,75149542,2228234,0.0,0.032986727,0.020769421,37.0,0
75649782,75649766,2228234,0.023212882,0.024434611,0.026878074,37.0,0
75747502,75747475,2228234,0.020769421,0.037873648,0.02199115,37.0,0
76150024,76150007,2228234,0.01954769,0.034208458,0.02199115,37.0,0
76350159,76350143,2228234,0.01954769,0.032986727,0.029321535,37.0,0
76446177,76446160,2228234,0.031764995,0.04031711,0.023212882,37.0,0
76647879,76647862,2228234,0.01954769,0.036651917,0.02199115,37.0,0
76744344,76744328,2228234,0.023212882,0.029321535,0.024434611,37.0,0
76847999,76847982,2228234,0.024434611,0.01954769,0.017104229,37.0,0
76947999,76947982,2228234,0.018325958,0.032986727,0.02199115,37.0,0
77046777,77046753,2228234,0.031764995,0.023212882,0.02199115,37.0,0
77146864,77146847,2228234,0.015882498,0.031764995,0.015882498,37.0,0
77248251,77248222,2228234,0.014660767,0.028099803,0.02199115,37.0,0
77447191,77447167,2228234,0.017104229,0.028099803,0.029321535,37.0,0
77548366,77548350,2228234,0.020769421,0.02199115,0.023212882,37.0,0
77948615,77948592,2228234,0.020769421,0.030543266,0.028099803,37.0,0
78248696,78248676,2228234,0.01954769,0.03909538,0.018325958,37.0,0
78348783,78348760,2228234,0.0085521145,0.032986727,0.031764995,37.0,0
78443689,78443670,2228234,0.017104229,0.026878074,0.032986727,37.0,0
78547564,78547548,2228234,0.0036651918,0.0439823,0.024434611,37.0,0
78846492,78846466,2228234,0.024434611,0.032986727,0.036651917,37.0,0
78947256,78947219,2228234,0.012217306,0.028099803,0.031764995,37.0,0
79048066,79048042,2228234,0.013439037,0.037873648,0.023212882,37.0,0
79347643,79347626,2228234,0.01954769,0.024434611,0.030543266,37.0,0
79449244,79449219,2228234,0.025656343,0.026878074,0.026878074,37.0,0
79547886,79547863,2228234,0.015882498,0.03543019,0.02199115,37.0,0
79749423,79749407,2228234,0.01954769,0.036651917,0.024434611,37.0,0
79847005,79846982,2228234,0.017104229,0.015882498,0.02199115,37.0,0
80347948,80347922,2228234,0.018325958,0.032986727,0.032986727,37.0,0
80748325,80748308,2228234,0.012217306,0.028099803,0.02199115,37.0,0
80846277,80846261,2228234,0.020769421,0.034208458,0.020769421,37.0,0
80948532,80948516,2228234,0.018325958,0.032986727,0.029321535,37.0,0
81048626,81048609,2228234,0.015882498,0.028099803,0.020769421,37.0,0
81146604,81146573,2228234,0.02199115,0.028099803,0.034208458,37.0,0
81348934,81348911,2228234,0.0073303836,0.032986727,0.023212882,37.0,0
81447793,81447756,2228234,0.017104229,0.01954769,0.020769421,37.0,0
81545252,81545235,2228234,0.023212882,0.017104229,0.017104229,37.0,0
81647906,81647883,2228234,0.01954769,0.03909538,0.025656343,37.0,0
81847940,81847924,2228234,0.025656343,0.036651917,0.017104229,37.0,0
82146147,82146131,2228234,0.015882498,0.023212882,0.018325958,37.0,0
82348262,82348235,2228234,0.012217306,0.037873648,0.026878074,37.0,0
82448234,82448215,2228234,0.028099803,0.028099803,0.030543266,37.0,0
82547279,82547253,2228234,0.01954769,0.025656343,0.024434611,37.0,0
82648350,82648333,2228234,0.012217306,0.034208458,0.017104229,37.0,0
82848504,82848481,2228234,0.017104229,0.01954769,0.032986727,37.0,0
82944825,82944803,2228234,0.0036651918,0.031764995,0.025656343,37.0,0
83148656,83148633,2228234,0.014660767,0.025656343,0.028099803,37.0,0
83548842,83548819,2228234,0.009773845,0.04031711,0.023212882,37.0,0
83646367,83646348,2228234,0.017104229,0.017104229,0.025656343,37.0,0
83747076,83747059,2228234,0.030543266,0.04031711,0.026878074,37.0,0
83943993,83943976,2228234,0.023212882,0.031764995,0.024434611,37.0,0
84748029,84748013,2228234,0.018325958,0.023212882,0.030543266,37.0,0
84847428,84847405,2228234,0.018325958,0.032986727,0.030543266,37.0,0
84949489,84949473,2228234,0.015882498,0.028099803,0.02199115,37.0,0
85045500,85045479,2228234,0.02199115,0.031764995,0.028099803,37.0,0
85249658,85249642,2228234,0.01954769,0.04276057,0.01954769,37.0,0
85345788,85345765,2228234,0.029321535,0.028099803,0.024434611,37.0,0
85448016,85448000,2228234,0.018325958,0.018325958,0.015882498,37.0,0
85549796,85549780,2228234,0.032986727,0.023212882,0.025656343,37.0,0
85647452,85647425,2228234,0.006108653,0.025656343,0.02199115,37.0,0
85747410,85747394,2228234,0.02199115,0.031764995,0.028099803,37.0,0
86046499,86046476,2228234,0.014660767,0.032986727,0.026878074,37.0,0
86147625,86147609,2228234,0.024434611,0.034208458,0.01954769,37.0,0
86248105,86248089,2228234,0.018325958,0.026878074,0.02199115,37.0,0
86547878,86547855,2228234,0.018325958,0.031764995,0.028099803,37.0,0
86645492,86645465,2228234,0.020769421,0.029321535,0.031764995,37.0,0
86745415,86745398,2228234,0.010995575,0.028099803,0.029321535,37.0,0
86847961,86847938,2228234,0.023212882,0.041538842,0.026878074,37.0,0
86948117,86948100,2228234,0.026878074,0.028099803,0.025656343,37.0,0
87046756,87046740,2228234,0.02199115,0.031764995,0.026878074,37.0,0
87248308,87248270,2228234,0.015882498,0.024434611,0.036651917,37.0,0
87347096,87347072,2228234,0.026878074,0.026878074,0.025656343,37.0,0
87447180,87447149,2228234,0.009773845,0.03543019,0.025656343,37.0,0
87548441,87548418,2228234,0.020769421,0.03909538,0.023212882,37.0,0
87647365,87647348,2228234,0.020769421,0.032986727,0.024434611,37.0,0
88046387,88046363,2228234,0.01954769,0.03543019,0.02199115,37.0,0
88146120,88146104,2228234,0.026878074,0.03909538,0.018325958,37.0,0
88547536,88547519,2228234,0.028099803,0.02199115,0.026878074,37.0,0
88747754,88747731,2228234,0.014660767,0.025656343,0.023212882,37.0,0
88847901,88847869,2228234,0.010995575,0.030543266,0.023212882,37.0,0
89048055,89048032,2228234,0.020769421,0.036651917,0.026878074,37.0,0
89547860,89547837,2228234,0.013439037,0.030543266,0.02199115,37.0,0
89647944,89647918,2228234,0.014660767,0.028099803,0.025656343,37.0,0
89749552,89749535,2228234,0.0036651918,0.032986727,0.030543266,37.0,0
