timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
47713698,0.3542763,0.03231381,-0.06544292
47766261,0.35451964,0.031173699,-0.06625061
47776293,0.3536986,0.031401716,-0.066086076
47786397,0.35369647,0.030272298,-0.06663696
47796872,0.35386953,0.031988353,-0.06440255
47807385,0.35542473,0.031408835,-0.0659222
47818782,0.35435602,0.031033553,-0.06607326
47859860,0.35451806,0.03086136,-0.06666473
47871391,0.35427892,0.030497877,-0.06476909
47881901,0.35509375,0.031236656,-0.06651177
47892401,0.35427567,0.032085788,-0.06560426
47903806,0.35452035,0.031107176,-0.06607697
47913844,0.35485348,0.03204063,-0.064921156
47986398,0.35460213,0.031177258,-0.06616565
47996401,0.3551813,0.030704536,-0.065122955
48006434,0.3550121,0.03227465,-0.06638392
48016518,0.35353607,0.032674853,-0.06562598
48026794,0.35427263,0.030430237,-0.066389486
48037318,0.35484853,0.03198723,-0.06620041
48089803,0.35583255,0.031597696,-0.06670058
48100334,0.35402408,0.030777056,-0.0669156
48111551,0.3532072,0.031861328,-0.06567619
48122385,0.3538653,0.031426635,-0.065489724
48132882,0.35558963,0.031784132,-0.065767646
48176475,0.3529615,0.031132096,-0.06547392
48186483,0.35419187,0.03177345,-0.066018075
48196894,0.35361245,0.031579897,-0.06711839
48207396,0.3541965,0.03182329,-0.0648241
48217936,0.35353205,0.031008635,-0.06666706
48228933,0.353947,0.029873203,-0.065596074
48270399,0.3537822,0.030679615,-0.06571452
48281501,0.3537033,0.031083392,-0.064876735
48291516,0.35403156,0.031668894,-0.064987876
48301895,0.3549297,0.031755652,-0.06644736
48322897,0.353204,0.031089377,-0.06649829
48334090,0.35411114,0.031124976,-0.065648966
48556600,0.35427642,0.03157747,-0.065412186
48566637,0.35501757,0.031300735,-0.064976335
48576996,0.35377786,0.031075137,-0.066841654
48587491,0.35427594,0.03053948,-0.06553972
48598031,0.35362163,0.032121386,-0.064748876
48609157,0.35460103,0.031755652,-0.06644609
48640035,0.35427582,0.031275816,-0.06557045
48650506,0.35493234,0.031784132,-0.06576509
48661672,0.35328928,0.030311456,-0.065697245
48703002,0.3534536,0.032524027,-0.06570481
48714228,0.35411385,0.032776967,-0.06494902
48724354,0.35395318,0.03067719,-0.06400641
48745005,0.3552638,0.031149896,-0.065056436
48755500,0.3541881,0.032544266,-0.06699
48766787,0.35443768,0.032208133,-0.066208035
48799235,0.3541938,0.031942073,-0.065512516
48809263,0.3543537,0.030934997,-0.06666717
48840549,0.35468364,0.031022875,-0.06633039
48851727,0.3536993,0.031261574,-0.065909356
48861799,0.3540253,0.031453997,-0.066602126
48893049,0.35353518,0.032148734,-0.065860316
48904284,0.3554227,0.031534754,-0.06644005
48914341,0.35427594,0.032531146,-0.06553742
48978151,0.3546816,0.03136968,-0.06685746
48989312,0.3543519,0.03180081,-0.067130476
48999375,0.35328025,0.030730776,-0.06802142
49020111,0.3550897,0.031709373,-0.067556694
49030591,0.35508674,0.031530056,-0.0683181
49074404,0.35434887,0.032136932,-0.0679134
49085191,0.35608006,0.031240216,-0.066430315
49095703,0.35517508,0.03226041,-0.066725686
49117014,0.35533988,0.031601258,-0.066613376
49127195,0.35476217,0.03135188,-0.0672842
49137700,0.35492653,0.030836439,-0.06726332
49179729,0.35467967,0.031053778,-0.06735686
49190205,0.353452,0.03228533,-0.066122
49200706,0.3541085,0.030875599,-0.066322014
49222747,0.3533618,0.030944556,-0.06820153
49233262,0.35500765,0.0311203,-0.06753179
49244456,0.35394013,0.031569216,-0.06737551
49285748,0.3549295,0.030794855,-0.06649269
49296976,0.35410798,0.032197453,-0.06646261
49307009,0.35459933,0.03203239,-0.0668848
49317251,0.35221505,0.031130979,-0.06726509
49359518,0.35369262,0.031484913,-0.06762733
49369743,0.35484672,0.03086136,-0.066666014
49474569,0.35468057,0.031579897,-0.067122534
49485253,0.35467696,0.031393476,-0.0680545
49495766,0.3533631,0.030885158,-0.06785732
49507075,0.35533893,0.03136968,-0.066860005
49517227,0.35517457,0.031443316,-0.06686244
49570307,0.35459253,0.03100038,-0.0686358
49580846,0.35443276,0.03178657,-0.06747193
49592077,0.35533693,0.031421956,-0.06737478
49602131,0.35451722,0.03195875,-0.0668814
