timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
27658504,32767,32767,32767,32767,32767,32767
27663510,-25,32767,32767,32767,-25,32767
27668531,32767,32767,32767,32767,32767,32767
27718531,-31,32767,32767,32767,32767,32767
27723533,32767,32767,32767,-9,32767,32767
27728543,-24,32767,32767,32767,-35,32767
27733541,32767,32767,32767,32767,32767,32767
27738539,-15,32767,32767,32767,-30,32767
27743542,32767,32767,32767,32767,32767,32767
27748562,-7,32767,32767,32767,-25,32767
27753549,32767,32767,32767,32767,32767,32767
27758549,1,32767,32767,32767,-15,32767
27763554,32767,32767,32767,32767,32767,32767
27768578,12,32767,32767,32767,-15,32767
27773555,32767,32767,32767,32767,32767,32767
27808593,32767,32767,32767,32767,11,32767
27813581,-7,32767,32767,32767,32767,32767
27818576,32767,32767,32767,32767,32767,32767
27823581,1,32767,32767,32767,-29,32767
27828603,32767,32767,32767,32767,32767,32767
27833582,10,32767,32767,-3,-24,32767
27838585,32767,32767,32767,32767,32767,32767
27848605,-33,32767,32767,32767,32767,32767
27853591,32767,32767,32767,32767,-13,32767
27858593,-24,32767,32767,32767,32767,32767
27863632,32767,32767,32767,32767,-11,32767
27913645,-33,32767,32767,32767,32767,32767
27918620,32767,32767,32767,32767,-36,32767
27923623,-25,32767,32767,32767,32767,32767
27928635,32767,32767,32767,32767,-30,32767
27933633,-15,32767,32767,32767,32767,32767
27938644,32767,32767,32767,32767,-26,32767
27943634,-7,32767,32767,12,32767,32767
27948645,32767,32767,32767,32767,-14,32767
27983649,32767,32767,32767,32767,32767,32767
27988663,-24,32767,32767,32767,10,32767
27993661,32767,32767,32767,32767,32767,32767
27998656,-15,32767,32767,-27,32767,32767
28003658,32767,32767,32767,32767,-35,32767
28043689,-31,32767,32767,32767,-15,32767
28048701,32767,32767,32767,32767,32767,32767
28053680,-23,32767,32767,32767,-15,32767
28058683,32767,32767,32767,32767,32767,32767
28063685,-14,32767,32767,32767,-14,32767
28068695,32767,32767,32767,-29,32767,32767
28073691,-7,32767,32767,32767,-13,32767
28078692,32767,32767,32767,32767,32767,32767
28083697,1,32767,32767,32767,-5,32767
28088707,32767,32767,32767,32767,32767,32767
28093702,10,32767,32767,32767,-1,32767
28098701,32767,32767,32767,32767,32767,32767
28158728,10,32767,32767,32767,-15,32767
28163731,32767,32767,32767,32767,32767,32767
28168741,32767,32767,32767,32767,-15,32767
28173735,-32,32767,32767,32767,32767,32767
