timestamp,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,fake_hvel[0],fake_hvel[1],fake_vvel,fake_hpos[0],fake_hpos[1],fake_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
161062667,0.0,0.0,0.0,0.30070367,0.30070367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.540705,0.0,0.0,nan,0.0,0.0,0.09014449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161663037,0.0,0.0,0.0,0.3007061,0.3007061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.539931,0.0,0.0,nan,0.0,0.0,0.09014446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161863129,0.0,0.0,0.0,0.3007066,0.3007066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.540356,0.0,0.0,nan,0.0,0.0,0.09014446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162263379,0.0,0.0,0.0,0.30070812,0.30070812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.541763,0.0,0.0,nan,0.0,0.0,0.09014455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162463478,0.0,0.0,0.0,0.3007086,0.3007086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.540826,0.0,0.0,nan,0.0,0.0,0.09014455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163063831,0.0,0.0,0.0,0.30071023,0.30071023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.541258,0.0,0.0,nan,0.0,0.0,0.09014452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163263951,0.0,0.0,0.0,0.30071077,0.30071077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.540398,0.0,0.0,nan,0.0,0.0,0.09014452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163864284,0.0,0.0,0.0,0.3007115,0.30071148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.543453,0.0,0.0,nan,0.0,0.0,0.09014449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165265094,0.0,0.0,0.0,0.30070832,0.30070817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.542381,0.0,0.0,nan,0.0,0.0,0.090144455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165465211,0.0,0.0,0.0,0.3007077,0.30070755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.541366,0.0,0.0,nan,0.0,0.0,0.09014445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165665338,0.0,0.0,0.0,0.3007072,0.30070707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.541675,0.0,0.0,nan,0.0,0.0,0.09014445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165865442,0.0,0.0,0.0,0.30070692,0.30070677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.541302,0.0,0.0,nan,0.0,0.0,0.09014443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167266263,0.0,0.0,0.0,0.30070606,0.30070588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.542312,0.0,0.0,nan,0.0,0.0,0.0901444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
