timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2]
45546690,45546666,1114122,2.2612174,3.7256248,-6.3457656,39.125,0,0,0,0
45643315,45643299,1114122,2.426322,3.8907294,-6.647261,39.125,0,0,0,0
45747912,45747889,1114122,2.268396,3.7543385,-6.259624,39.25,0,0,0,0
45845306,45845289,1114122,2.4478574,3.5102706,-6.2883377,39.0,0,0,0,0
46047970,46047954,1114122,2.2899313,3.7040894,-6.2883377,39.125,0,0,0,0
46245987,46245964,1114122,2.4765713,3.5389845,-6.302695,39.125,0,0,0,0
46348088,46348069,1114122,2.318645,3.4959137,-6.4390855,39.0,0,0,0,0
46546278,46546261,1114122,2.4119651,3.5676985,-6.23091,39.25,0,0,0,0
46647096,46647073,1114122,2.4981067,3.7256248,-6.3960147,39.125,0,0,0,0
46743232,46743208,1114122,2.2827528,3.531806,-6.216553,39.125,0,0,0,0
46848444,46848421,1114122,2.4335005,3.6969109,-6.123233,39.25,0,0,0,0
46948452,46948428,1114122,2.6201408,3.5964124,-6.5898333,39.125,0,0,0,0
47043402,47043385,1114122,2.4622145,3.5389845,-6.4821563,39.125,0,0,0,0
47148456,47148439,1114122,2.5698915,3.5533416,-6.2739806,39.125,0,0,0,0
47448694,47448671,1114122,2.5052853,3.330809,-6.367301,39.0,0,0,0,0
47546924,47546907,1114122,2.6919253,3.4671998,-6.4893346,39.25,0,0,0,0
48646645,48646629,1114122,2.519642,3.6107693,-6.302695,39.25,0,0,0,0
48744324,48744291,1114122,2.3976083,3.5174491,-6.5036917,39.125,0,0,0,0
48849259,48849242,1114122,2.426322,3.4097722,-6.259624,39.25,0,0,0,0
49343471,49343454,1114122,2.376073,3.4671998,-6.518049,39.125,0,0,0,0
49747721,49747704,1114122,2.318645,3.7543385,-6.2883377,39.25,0,0,0,0
49948341,49948318,1114122,2.318645,3.5533416,-6.144768,39.125,0,0,0,0
50047317,50047300,1114122,2.5986054,3.6323047,-6.202196,39.125,0,0,0,0
50147354,50147338,1114122,2.3545375,3.546163,-6.5467625,39.125,0,0,0,0
50248604,50248577,1114122,2.4909282,3.5389845,-6.2811594,39.125,0,0,0,0
50348368,50348348,1114122,2.2325034,3.6323047,-6.187839,39.25,0,0,0,0
51047799,51047783,1114122,2.426322,3.56052,-6.309873,39.25,0,0,0,0
51146373,51146354,1114122,2.4693928,3.6323047,-6.3457656,39.25,0,0,0,0
51242922,51242904,1114122,2.333002,3.7471602,-6.302695,39.125,0,0,0,0
51347955,51347935,1114122,2.426322,3.682554,-6.123233,39.25,0,0,0,0
51543051,51543032,1114122,2.5052853,3.4671998,-6.5898333,39.125,0,0,0,0
51745659,51745633,1114122,2.4765713,3.574877,-6.2739806,39.375,0,0,0,0
51848180,51848164,1114122,2.6919253,3.7112677,-6.5467625,39.25,0,0,0,0
51948227,51948209,1114122,2.7565317,3.6610186,-6.7334027,39.25,0,0,0,0
52045821,52045793,1114122,2.4119651,3.8261232,-6.6041903,39.375,0,0,0,0
52148381,52148365,1114122,2.117648,3.5030923,-6.0729837,39.25,0,0,0,0
52248479,52248456,1114122,2.5555346,3.4600215,-6.460621,39.375,0,0,0,0
52648511,52648495,1114122,2.426322,3.6466615,-6.4821563,39.25,0,0,0,0
52748669,52748653,1114122,2.57707,3.7112677,-6.51087,39.25,0,0,0,0
