timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
66121622,0,0.0,0.0,0.0,0.0,-11.898733,3.2243716e-07,3.31982e-07,0.0,0.042993527,0.022640398,-0.17841524,-0.14528334,6.448743e-05,6.63964e-05,0.0,0.016582077,0.0034426157,0.0038142786,-0.11908308,0.0002478313,0.0,0.10725784,0.3012969,0.53762054,0.17362642,0.14729857,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
66922009,0,0.0,0.0,0.0,0.0,-12.065005,3.2243716e-07,3.31982e-07,0.0,0.046265602,0.01919138,-0.18293907,-0.17794171,6.448743e-05,6.63964e-05,0.0,0.026559446,-0.0010071353,-0.020340275,-0.11907108,0.0002478313,0.0,0.13446331,0.30129662,0.53538233,0.17363253,0.14689584,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
67022058,0,0.0,0.0,0.0,0.0,-12.078368,3.2243716e-07,3.31982e-07,0.0,0.047299393,0.019828623,-0.18111454,-0.17145069,6.448743e-05,6.63964e-05,0.0,0.016637485,0.02927394,0.020949664,-0.11908933,0.0002478313,0.0,0.13266563,0.31553647,0.534319,0.17887245,0.14671259,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
67122108,0,0.0,0.0,0.0,0.0,-12.093643,3.2243716e-07,3.31982e-07,0.0,0.04745646,0.019165643,-0.1806638,-0.16884583,6.448743e-05,6.63964e-05,0.0,0.014468003,0.037076715,-0.00039927792,-0.11910295,0.0002478313,0.0,0.12667179,0.30129686,0.5396073,0.17362991,0.14761771,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
67322214,0,0.0,0.0,0.0,0.0,-12.127703,3.2243716e-07,3.31982e-07,0.0,0.047538023,0.019175157,-0.17934641,-0.16751039,6.448743e-05,6.63964e-05,0.0,0.027489895,0.034283992,0.0010881955,-0.11906627,0.0002478313,0.0,0.121439934,0.30129677,0.53752583,0.17362963,0.14726762,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
67522317,0,0.0,0.0,0.0,0.0,-12.165896,3.2243716e-07,3.31982e-07,0.0,0.049372755,0.018776549,-0.17954773,-0.17152295,6.448743e-05,6.63964e-05,0.0,0.028172553,0.012473251,-0.030057581,-0.119016804,0.0002478313,0.0,0.12145901,0.30129626,0.5355091,0.17362334,0.14693305,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
67622382,0,0.0,0.0,0.0,0.0,-12.184655,3.2243716e-07,3.31982e-07,0.0,0.049979143,0.0191999,-0.17942981,-0.17267467,6.448743e-05,6.63964e-05,0.0,0.034864318,-0.011679677,-0.006816863,-0.1190469,0.0002478313,0.0,0.12113571,0.3155354,0.5344938,0.17886038,0.14676303,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
68322701,0,0.0,0.0,0.0,0.0,-12.3255825,3.2243716e-07,3.31982e-07,0.0,0.04913148,0.01821496,-0.18303083,-0.19180904,6.448743e-05,6.63964e-05,0.0,0.025950579,-0.0019394172,0.002460178,-0.11888256,0.0002478313,0.0,0.10929489,0.30129313,0.53390086,0.17362225,0.14670472,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
68722898,0,0.0,0.0,0.0,0.0,-12.414251,3.2243716e-07,3.31982e-07,0.0,0.04753416,0.019422278,-0.18651997,-0.20236884,6.448743e-05,6.63964e-05,0.0,0.027739316,0.089638025,0.0070266016,-0.11890275,0.0002478313,0.0,0.12766933,0.30129313,0.53618,0.17362748,0.14710653,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
68923014,0,0.0,0.0,0.0,0.0,-12.451461,3.2243716e-07,3.31982e-07,0.0,0.04690721,0.01950289,-0.18656601,-0.19859716,6.448743e-05,6.63964e-05,0.0,-0.0054146154,0.060729336,-0.042375743,-0.11882782,0.0002478313,0.0,0.12831688,0.30129328,0.54036826,0.17362279,0.14781342,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
69023056,0,0.0,0.0,0.0,0.0,-12.470761,3.2243716e-07,3.31982e-07,0.0,0.04725693,0.019979376,-0.1858251,-0.19695924,6.448743e-05,6.63964e-05,0.0,0.017966693,0.06804713,0.018282138,-0.11882316,0.0002478313,0.0,0.13035965,0.31553254,0.53928465,0.1788652,0.14762549,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
